,aeropuer-aemet
1157,605.0983
1158,596.5758
1159,608.86584
1160,373.179
1161,195.98619
1162,146.31154
1163,-26.381529
1164,-62.06557
1165,-81.16127
1166,-21.35716
1167,-39.253605
1168,-24.407059
1169,-17.73875
1170,-22.117476
1171,-24.148592
1172,-28.111704
1173,86.48014
1174,38.996864
1175,-17.819843
1176,-13.160213
1177,19.757433
1178,185.89395
1179,461.61252
1180,701.73676
1181,772.02686
1182,794.7613
1183,771.515
1184,544.4003
1185,405.54413
1186,313.6122
1187,31.78734
1188,-41.002937
1189,-15.098247
1190,0.49014872
1191,73.652985
1192,75.38739
1193,18.993553
1194,-28.087332
1195,20.406076
1196,19.06416
1197,68.67268
1198,7.746503
1199,95.940346
1200,-20.790295
1201,54.06362
1202,166.03456
1203,457.52435
1204,636.60815
1205,746.9941
1206,742.1416
1207,666.36566
1208,485.44058
1209,390.33328
1210,279.30197
1211,157.2452
1212,67.38976
1213,74.630005
1214,70.71535
1215,78.24659
1216,70.41843
1217,6.359546
1218,15.102754
1219,34.29283
1220,17.73861
1221,-22.886593
1222,34.016712
1223,31.206867
1224,4.629129
1225,113.68437
1226,139.06581
1227,483.54788
1228,655.4514
1229,766.3666
1230,792.9751
1231,719.9175
1232,468.02713
1233,394.58414
1234,175.9735
1235,12.173309
1236,107.36789
1237,73.63084
1238,50.45409
1239,68.207535
1240,141.46974
1241,-22.147558
1242,26.349993
1243,25.795967
1244,41.530876
1245,-22.741468
1246,7.2271843
1247,-5.1993895
1248,37.555733
1249,100.49607
1250,159.71846
1251,444.16147
1252,536.4296
1253,660.94965
1254,630.31354
1255,604.1982
1256,471.9896
1257,353.91876
1258,314.2333
1259,82.26112
1260,31.365452
1261,39.494743
1262,63.591618
1263,27.02645
1264,34.148952
1265,-15.394783
1266,-9.1967535
1267,-18.201141
1268,-6.4744625
1269,1.3198087
1270,17.851437
1271,15.561691
1272,11.292899
1273,59.041164
1274,184.85913
1275,424.67825
1276,614.1992
1277,748.99554
1278,743.42786
1279,694.6745
1280,461.37076
1281,464.14746
1282,295.88754
1283,102.313
1284,49.435116
1285,41.557453
1286,29.193266
1287,34.122143
1288,29.036055
1289,-10.333084
1290,-5.029935
1291,10.035096
1292,-33.39239
1293,24.26328
1294,8.049544
1295,22.175846
1296,16.087332
1297,71.264015
1298,205.76598
1299,405.14197
1300,653.7612
1301,691.64294
1302,757.5107
1303,709.3515
1304,522.38184
1305,429.66467
1306,301.99896
1307,108.895935
1308,44.230442
1309,41.806458
1310,44.5442
1311,42.72514
1312,49.776062
1313,7.9476976
1314,4.499032
1315,12.05714
1316,15.96645
1317,-3.5650997
1318,-10.121777
1319,4.6606145
1320,-11.856907
1321,98.10186
1322,211.65137
1323,440.06473
1324,666.14264
1325,750.47363
1326,742.337
1327,706.2313
1328,496.34238
1329,435.22543
1330,302.58258
1331,119.85055
1332,62.326935
1333,51.844234
1334,46.461243
1335,36.295387
1336,7.233967
1337,-9.778577
1338,-4.5790243
1339,-4.5790243
1340,-6.7377234
1341,-5.683443
1342,-6.58284
1343,-9.261187
1344,-3.74077
1345,40.173473
1346,209.52498
1347,434.6795
1348,676.4318
1349,725.7664
1350,790.49884
1351,672.4254
1352,564.3096
1353,414.2979
1354,306.9376
1355,118.199814
1356,61.623775
1357,39.94754
