,miraflores
1160,1.4373412
1161,3.3737395
1162,-2.749976
1163,-45.172577
1164,0.4997334
1165,10.289421
1166,-15.893688
1167,9.872695
1168,9.484498
1169,6.338526
1170,4.4197607
1171,8.538686
1172,19.507383
1173,3.3319979
1174,27.073563
1175,38.98615
1176,44.92979
1177,88.023254
1178,97.17214
1179,111.54327
1180,55.591812
1181,40.9059
1182,20.872131
1183,-13.705263
1184,-53.513622
1185,-16.599329
1186,6.8714504
1187,0.0941567
1188,-5.228108
1189,-1.4545547
1190,-13.331851
1191,8.323631
1192,50.73861
1193,-34.748722
1194,1.206865
1195,-1.4311374
1196,4.221734
1197,3.4893546
1198,-72.27183
1199,-40.048496
1200,-21.116219
1201,-26.129328
1202,-18.346174
1203,-16.945187
1204,-24.012516
1205,-2.619422
1206,-21.270172
1207,-36.024364
1208,-29.285967
1209,4.4838347
1210,7.9640994
1211,7.134331
1212,7.0685573
1213,12.580284
1214,-11.861163
1215,-12.492903
1216,176.90276
1217,207.83737
1218,199.72649
1219,186.07594
1220,55.618454
1221,167.36089
1222,35.66621
1223,-39.27079
1224,4.8023725
1225,16.000954
1226,57.54553
1227,101.092514
1228,30.328041
1229,-29.229136
1230,-9.916126
1231,-16.498022
1232,188.04683
1233,49.664272
1234,55.253384
1235,65.047455
1236,215.90869
1237,100.00525
1238,298.15775
1239,-16.03215
1240,183.11072
1241,378.69873
1242,339.16238
1243,279.18503
1244,281.96292
1245,142.49992
1246,734.5119
1247,558.4871
1248,207.55783
1249,2.3334248
1250,-140.2989
1251,12.983171
1252,25.51041
1253,9.833293
1254,-5.961099
1255,287.0129
1256,275.41803
1257,138.5169
1258,289.66507
1259,110.06964
1260,118.05394
1261,204.9596
1262,162.09009
1263,154.01546
1264,211.12912
1265,337.7532
1266,199.85295
1267,215.26193
1268,211.71637
1269,703.2958
1270,431.4312
1271,451.38403
1272,475.6728
1273,-10.044481
1274,92.671616
1275,141.02962
1276,140.8846
1277,255.28523
1278,289.54434
1279,459.5428
1280,280.64252
1281,223.46315
1282,191.66377
1283,225.9007
1284,213.91718
1285,305.11932
1286,447.61456
1287,426.73608
1288,438.48303
1289,426.06134
1290,284.3785
1291,358.92484
1292,420.56876
1293,656.2142
1294,283.98633
1295,15.012211
1296,-70.07337
1297,112.49049
1298,249.68126
1299,123.05266
1300,13.119657
1301,79.73132
1302,118.58996
1303,471.19122
1304,100.65965
1305,133.89717
1306,192.18774
1307,199.99937
1308,142.21324
1309,296.8538
1310,246.8666
1311,228.4327
1312,369.86386
1313,410.83786
1314,317.93686
1315,314.03775
1316,271.0215
1317,696.33026
1318,386.25293
1319,34.20893
1320,-77.47056
1321,-31.586966
1322,-23.543375
1323,-20.680614
1324,166.18832
1325,117.641556
1326,291.1958
1327,247.23895
1328,118.45453
1329,210.15411
1330,173.3073
1331,187.6984
1332,152.17406
1333,331.03906
1334,303.16257
1335,264.7574
1336,310.4831
1337,342.47867
1338,242.17683
1339,359.8924
1340,850.21173
1341,752.43384
1342,557.4424
1343,34.273182
1344,-20.311825
1345,-7.5404434
1346,19.20863
1347,1.7252822
1348,26.366505
1349,-80.433975
1350,-33.868656
1351,226.8563
1352,168.72801
1353,195.4922
1354,197.18452
1355,223.29652
1356,207.85222
1357,352.2347
1358,332.3478
1359,421.01346
1360,432.27557
1361,405.78683
1362,314.454
1363,305.9351
1364,370.04037
1365,457.695
1366,340.3924
1367,394.78598
1368,299.17767
1369,296.921
1370,149.13918
1371,466.1624
1372,334.8452
1373,352.87964
1374,551.25006
1375,559.27295
1376,320.17752
1377,354.9991
1378,321.14465
1379,283.52338
1380,276.29703
1381,408.9265
1382,348.71365
1383,426.48782
1384,351.58978
1385,327.88373
1386,319.215
1387,333.45786
1388,1043.7451
1389,545.7395
1390,453.50858
1391,15.599993
1392,-43.569523
1393,-87.10937
1394,11.517147
1395,-5.2014356
1396,-10.915522
1397,20.301065
1398,24.028486
1399,157.05885
1400,90.993996
1401,209.95273
1402,181.31798
1403,160.68161
1404,87.795
1405,192.83722
1406,262.5782
1407,194.18443
1408,366.833
1409,419.2261
1410,171.81967
1411,193.45549
1412,403.9785
1413,696.808
1414,349.90875
1415,34.649513
1416,-64.848816
1417,-194.21872
1418,-10.8822
1419,-7.158937
1420,-65.06351
1421,-22.675014
1422,-33.21719
1423,358.74722
1424,125.41154
1425,90.33093
1426,73.08198
1427,176.99683
1428,224.54808
1429,302.51147
1430,397.97882
1431,390.97845
1432,427.68896
1433,380.4844
1434,266.3662
1435,342.79578
1436,130.16115
1437,785.9335
1438,505.70312
1439,362.2923
1440,347.02905
1441,52.242783
1442,23.928692
1443,16.878227
1444,207.86076
1445,202.8909
1446,434.5357
1447,492.25198
1448,151.47978
1449,148.08444
1450,146.0079
1451,165.44414
1452,166.39615
1453,286.4794
1454,305.56055
1455,339.58713
1456,286.45877
1457,286.80063
1458,212.98633
1459,212.25854
1460,675.2753
1461,686.8463
1462,561.19257
1463,344.86
1464,286.81122
1465,534.6751
1466,109.81559
1467,142.65903
1468,242.18272
1469,437.31784
1470,517.0681
1471,581.45435
1472,112.81935
1473,111.92247
1474,228.7785
1475,463.9327
1476,142.06235
1477,197.35432
1478,432.27353
1479,285.32706
1480,258.90662
1481,351.58423
1482,181.25667
1483,197.34094
1484,594.17816
1485,738.6703
1486,536.1554
1487,571.94885
1488,156.84444
1489,338.4671
1490,293.616
1491,546.6405
1492,627.91394
1493,540.47736
1494,650.21436
1495,731.1148
1496,162.3238
1497,166.01137
1498,201.34808
1499,248.00624
1500,176.4206
1501,333.524
1502,317.6385
1503,393.712
1504,349.84286
1505,284.06827
1506,232.59442
1507,381.70505
1508,828.2172
1509,826.2633
1510,568.1978
1511,520.8594
1512,331.6312
1513,569.37537
1514,542.7006
1515,393.4407
1516,380.1228
1517,564.06323
1518,668.2933
1519,686.75885
1520,130.00182
1521,146.9866
1522,120.04979
1523,318.77792
1524,146.92209
1525,343.25198
