,mont-samagallo
977,24.171616
978,168.0253
979,278.42105
980,352.1345
981,678.16986
982,394.24756
983,298.1593
984,535.85925
985,179.70886
986,89.97068
987,-0.6320625
988,-10.325334
989,-6.1713314
990,-11.748966
991,-15.306108
992,-15.048873
993,-8.2513075
994,-91.73709
995,-32.163
996,3.8429537
997,-8.132984
998,9.94993
999,5.9484196
1000,2.552655
1001,9.3670845
1002,78.83813
1003,68.206055
1004,219.27051
1005,303.35004
1006,431.61346
1007,470.79184
1008,262.89407
1009,152.70644
1010,95.625084
1011,23.736067
1012,-8.384165
1013,3.2140982
1014,3.7520208
1015,5.0360208
1016,2.929098
1017,-9.326592
1018,-5.6791677
1019,6.1963964
1020,-0.039143108
1021,-2.7449574
1022,26.39709
1023,-1.9494605
1024,27.638124
1025,159.87863
1026,200.83224
1027,261.35837
1028,322.16464
1029,306.9566
1030,286.6833
1031,253.86217
1032,127.113686
1033,184.56332
1034,39.11914
1035,-2.9557447
1036,-1.9666846
1037,-2.3562918
1038,-0.23264
1039,0.7255929
1040,0.3503076
1041,-8.013796
1042,6.824546
1043,-2.488147
1044,-8.112563
1045,0.8349394
1046,0.6292769
1047,7.075371
1048,53.280693
1049,227.47908
1050,287.91754
1051,490.77728
1052,414.57623
1053,620.0767
1054,514.3164
1055,227.35384
1056,64.13681
1057,66.536255
1058,4.1463995
1059,-3.063496
1060,-14.709562
1061,-6.4789286
1062,4.6869097
1063,4.492916
1064,-2.1338205
1065,0.4346178
1066,-4.192321
1067,45.418877
1068,-4.033799
1069,-3.2270763
1070,4.04338
1071,-3.3190162
1072,-31.83857
1073,57.94288
1074,79.75488
1075,36.457012
1076,70.00315
1077,61.523914
1078,42.084957
1079,60.46107
1080,46.73095
1081,35.734093
1082,-3.1662173
1083,-12.393627
1084,-9.489332
1085,-7.6148634
1086,-7.627292
1087,-12.233628
1088,31.212345
1089,11.824144
1090,1.6473
1091,2.0645852
1092,-2.1877134
1093,-10.438311
1094,0.43807706
1095,6.5150213
1096,1.7230519
1097,110.30541
1098,63.828514
1099,159.86436
1100,95.302605
1101,89.53139
1102,86.69978
1103,105.5275
1104,79.070984
1105,58.77682
1106,0.6305577
1107,-7.8606544
1108,4.4463773
1109,-41.7865
1110,2.019783
1111,10.341618
1112,-1.3260918
1113,22.466019
1114,2.3158066
1115,-1.1272463
1116,2.972808
1117,-1.6323173
1118,-12.131632
1119,0.9520697
1120,-0.021832816
1121,109.619545
1122,208.80624
1123,355.14966
1124,425.90573
1125,391.32336
1126,322.35632
1127,273.34494
1128,144.46814
1129,117.2775
1130,11.279985
1131,-3.0734344
1132,21.673119
1133,-9.237456
1134,-0.08868607
1135,-1.2943186
1136,-6.385861
1137,-1.4162399
1138,-15.387054
1139,-15.962595
1140,-16.485182
1141,-17.06672
1142,4.715717
1143,-12.062897
1144,32.70777
1145,185.15956
1146,350.89554
