,labombilla
921,-11.51355
922,-32.605556
923,0.838468
924,-38.702614
925,-7.5757055
926,-15.632504
927,-4.8536806
928,5.065545
929,-3.0019672
930,9.830605
931,95.48707
932,313.56427
933,364.2425
934,621.103
935,715.2335
936,689.2284
937,719.9742
938,495.0132
939,331.65216
940,269.7736
941,57.24605
942,41.871384
943,-36.873356
944,-22.521872
945,2.819844
946,-1.989035
947,-5.5877957
948,-2.7855399
949,-2.7855399
950,53.518654
951,-6.598672
952,14.797454
953,16.274307
954,28.797966
955,173.44405
956,323.46567
957,338.89917
958,661.95135
959,810.78906
960,779.1375
961,768.94464
962,551.7026
963,418.0508
964,338.66354
965,132.39069
966,80.35515
967,56.72006
968,26.77441
969,30.682047
970,32.410572
971,-20.189735
972,-45.350216
973,-22.335533
974,-15.274846
975,-0.37647432
976,29.967672
977,-17.25324
978,-11.974998
979,112.572075
980,316.51712
981,605.3124
982,800.05084
983,831.07574
984,815.61346
985,753.37134
986,473.00827
987,346.50598
988,320.98206
989,59.930275
990,52.721306
991,1.1829208
992,-16.605547
993,13.33626
994,-17.711287
995,-14.555042
996,-25.22241
997,-9.187429
998,-20.112015
999,-17.430422
1000,3.0997047
1001,-3.6739056
1002,-36.024345
1003,47.4192
1004,302.1663
1005,349.95093
1006,497.9584
1007,508.4418
1008,677.7885
1009,752.9543
1010,412.31485
1011,319.08362
1012,255.3248
1013,30.181894
1014,-15.510716
1015,20.636557
1016,-21.374102
1017,10.747708
1018,-21.507463
1019,-25.608236
1020,-29.847961
1021,-20.54765
1022,-22.672955
1023,-11.635871
1024,-7.623067
1025,-10.796486
1026,-5.925949
1027,45.971886
1028,238.4153
1029,459.80573
1030,697.0165
1031,756.24915
1032,814.8011
1033,829.75977
1034,529.1666
1035,352.39645
1036,191.40302
1037,56.63273
1038,-1.6800306
1039,-21.348448
1040,-5.241131
1041,-28.866413
1042,-26.393213
1043,-2.333613
1044,-8.838654
1045,-3.4372158
1046,-18.965937
1047,-8.994253
1048,-8.660589
1049,-14.685894
1050,-9.298286
1051,63.434856
1052,237.93578
1053,460.32635
1054,699.9089
1055,785.8036
1056,794.93365
1057,671.9069
1058,464.27408
1059,317.28613
1060,227.22871
1061,35.578754
1062,53.209118
1063,16.184738
1064,15.303585
1065,14.912115
1066,16.985746
1067,-9.93353
1068,-9.549496
1069,-9.549496
1070,-7.588378
1071,-7.065341
1072,-22.15543
1073,-21.030151
1074,-16.425318
1075,60.26895
1076,224.42325
1077,322.35532
1078,677.6114
1079,773.7958
1080,820.4909
1081,637.4883
1082,465.38977
1083,317.20636
1084,216.88654
1085,42.36994
1086,53.005165
1087,43.40074
1088,9.598851
1089,10.291827
1090,-12.85572
1091,-12.141195
1092,-15.379094
1093,-16.971373
1094,-20.199535
1095,-7.160593
1096,-32.923817
1097,-11.584595
1098,-16.644243
1099,49.483616
1100,191.94518
1101,319.1615
1102,735.30096
1103,780.7662
1104,753.2518
1105,668.44965
1106,527.5293
1107,357.75558
1108,277.9011
1109,75.80749
1110,54.23508
1111,53.62552
1112,-17.227205
1113,-25.51491
1114,-35.447094
1115,-26.10184
1116,55.947132
1117,30.774235
1118,75.20207
1119,96.96807
1120,27.8516
1121,51.40384
1122,68.96897
1123,205.9939
1124,332.77637
1125,520.6507
1126,754.4655
1127,808.6001
1128,756.0645
1129,693.5324
1130,442.4558
1131,394.12347
1132,271.83112
1133,123.99528
1134,97.04297
1135,38.792892
1136,67.41456
1137,56.96123
1138,58.42144
1139,16.904459
1140,5.850752
1141,-9.101126
1142,-9.159145
1143,-12.020325
1144,-8.574286
1145,-1.9342324
1146,8.033213
1147,140.16206
1148,330.26483
1149,584.61993
1150,705.41595
1151,810.29346
1152,813.082
1153,708.27655
1154,405.68066
1155,360.00894
1156,284.23334
1157,93.1721
1158,41.935715
1159,63.12969
1160,15.567678
1161,62.594776
1162,88.989655
1163,-23.741156
1164,-23.75049
1165,-26.358965
1166,7.995783
1167,-7.8751154
1168,-7.5414524
1169,-1.0018209
1170,6.1702166
1171,99.45289
1172,296.38464
1173,531.5107
1174,722.1364
1175,869.0074
1176,784.12213
1177,732.7499
1178,574.37415
1179,427.6989
1180,399.71234
1181,169.58412
1182,26.418467
1183,0.90132177
1184,44.35795
1185,19.620852
1186,-0.20899385
1187,-0.2428692
1188,19.343998
1189,9.99074
1190,11.864148
1191,-8.952911
1192,11.865477
1193,-0.098810844
1194,3.6413662
1195,105.20108
1196,396.02765
1197,510.72568
1198,739.979
1199,823.56494
1200,831.87787
1201,807.7472
1202,524.6963
1203,487.55896
1204,345.1461
1205,150.70871
1206,32.282875
1207,18.253246
1208,26.211716
1209,31.626186
1210,17.693129
1211,-14.969893
1212,21.733408
1213,13.18492
1214,23.56039
1215,-15.04105
1216,-6.954768
1217,15.521707
1218,15.216459
1219,143.91658
1220,394.04483
1221,570.1031
1222,779.6351
1223,843.04767
1224,848.199
1225,803.23035
1226,494.6555
1227,478.3799
1228,291.67627
1229,134.7258
1230,13.801053
1231,15.8723545
1232,37.510868
1233,17.141151
1234,33.19238
1235,33.464943
1236,30.642954
1237,32.944256
1238,29.680674
1239,70.9337
1240,75.742676
1241,62.102795
1242,87.41094
1243,248.9671
1244,350.18915
1245,491.03946
1246,780.76483
1247,880.5573
1248,857.1669
1249,777.89594
1250,510.36816
1251,466.53152
1252,337.73334
1253,48.161167
1254,37.6765
1255,25.567776
1256,58.191463
1257,66.10693
1258,55.216682
1259,96.51039
1260,27.149498
1261,25.580944
1262,27.716282
1263,-19.777798
1264,11.687947
1265,14.425168
1266,41.766804
1267,227.6145
1268,346.23132
1269,612.16187
1270,785.007
1271,867.99133
1272,860.91003
1273,779.4354
1274,530.43494
1275,466.90436
1276,338.31335
