,sanantonio
1535,488.50897
1536,627.2736
1537,446.10486
1538,374.30643
1539,249.27766
1540,206.83707
1541,124.73893
1542,42.11784
1543,34.659496
1544,37.597736
1545,97.51471
1546,43.331425
1547,33.709297
1548,33.206367
1549,123.58155
1550,88.469475
1551,342.53247
1552,354.18225
1553,270.35117
1554,257.46622
1555,282.16104
1556,393.97296
1557,533.6499
1558,553.6381
1559,514.0807
1560,519.5039
1561,356.09866
1562,374.39362
1563,247.75471
1564,144.62564
1565,100.3834
1566,35.74599
1567,31.764519
1568,28.374655
1569,34.660038
1570,30.631748
1571,5.467922
1572,33.895157
1573,3.925864
1574,-0.26686612
1575,-2.9802384
1576,1.9607103
1577,3.907202
1578,4.4749265
1579,50.921215
1580,199.40044
1581,270.85617
1582,227.41096
1583,254.49416
1584,265.82794
1585,236.63582
1586,143.65929
1587,88.2287
1588,79.53656
1589,29.865541
1590,0.26838776
1591,-5.18796
1592,-2.909502
1593,8.793109
1594,0.47666764
1595,4.7856703
1596,-1.6459461
1597,-1.6459461
1598,3.2852252
1599,0.6976653
1600,2.602706
1601,9.791812
1602,6.0425363
1603,49.676483
1604,166.00784
1605,201.80774
1606,182.86517
1607,175.26895
1608,137.40036
1609,102.660576
1610,90.220604
1611,164.3566
1612,97.94424
1613,42.605408
1614,6.7103286
1615,-15.451236
1616,1.1922023
1617,-10.31265
1618,0.45221668
1619,0.13073313
1620,0.572235
1621,-2.5835907
1622,-0.04097426
1623,1.0281279
1624,3.1190758
1625,11.779817
1626,9.200844
1627,34.599728
1628,146.60556
1629,197.13011
1630,163.53242
1631,169.20728
1632,163.87895
1633,134.70456
1634,150.63016
1635,137.54231
1636,105.34386
1637,32.895683
1638,-0.9355106
1639,14.991231
1640,22.256016
1641,44.296783
1642,44.752487
1643,0.48214883
1644,-1.1240072
1645,3.7659972
1646,-1.1135881
1647,-11.651017
1648,-4.465833
1649,6.48007
1650,0.8914846
1651,21.183811
1652,176.56544
1653,263.82773
1654,213.00156
1655,192.46846
1656,190.1454
1657,138.89212
1658,152.53944
1659,138.78346
1660,97.99806
1661,78.589355
1662,30.333729
1663,21.970425
1664,53.74998
1665,15.194339
1666,0.3518448
1667,34.95364
1668,44.84941
1669,32.564808
1670,34.043827
1671,37.758804
1672,34.73178
1673,37.85247
1674,42.77924
1675,69.09652
1676,239.4213
1677,246.51611
1678,266.416
1679,321.05014
1680,250.92377
1681,266.49222
1682,251.66855
1683,189.53236
1684,90.166336
1685,60.112385
1686,85.89857
1687,77.59001
1688,83.73788
1689,40.78208
1690,96.511215
1691,74.11341
1692,37.30697
1693,31.584671
1694,28.316702
1695,25.451756
1696,40.451893
1697,43.829998
1698,162.2792
1699,45.38884
1700,162.82895
1701,379.44955
1702,342.92444
1703,383.38162
1704,378.16415
1705,411.17352
1706,357.6883
1707,243.37389
1708,164.73105
1709,78.61646
1710,42.724102
1711,37.65858
1712,14.836826
1713,7.847966
1714,73.40918
1715,77.55386
1716,84.62437
1717,85.50288
1718,44.54549
1719,119.43866
1720,78.82295
1721,116.52365
1722,119.137825
1723,66.05478
1724,131.60217
1725,217.18369
1726,297.51074
1727,314.86008
1728,293.4589
1729,209.98083
1730,297.30005
1731,171.90735
1732,135.82417
1733,113.23009
1734,90.33285
1735,78.368095
1736,87.01119
1737,80.33097
1738,77.18462
1739,118.587845
1740,77.74086
1741,88.21349
1742,85.37692
1743,89.56128
1744,20.948412
1745,59.256474
1746,123.17344
1747,170.67096
1748,80.17932
1749,191.366
1750,353.9845
1751,341.07727
1752,385.1324
1753,354.329
1754,245.44403
1755,218.82677
1756,118.622185
1757,44.518135
1758,86.3439
1759,23.629498
1760,33.527897
1761,61.599976
1762,2.2139926
1763,72.71287
1764,-2.8554742
1765,27.214907
1766,-6.452247
1767,36.317318
1768,35.569546
1769,44.05734
1770,56.980434
1771,128.8873
1772,220.50174
1773,283.2609
1774,284.5337
1775,339.1531
