,centrovis-cab
1460,64.0546
1461,20.0179
1462,265.7437
1463,518.4002
1464,559.36566
1465,416.06622
1466,381.10934
1467,310.28577
1468,249.22629
1469,1.0179634
1470,-4.1810374
1471,7.5470986
1472,6.035226
1473,27.872068
1474,12.400274
1475,-2.8765786
1476,-4.647523
1477,3.818039
1478,0.080045566
1479,-3.4474733
1480,4.1933913
1481,1.7963288
1482,-11.100779
1483,20.566082
1484,130.35341
1485,180.45831
1486,325.40793
1487,455.06967
1488,468.07126
1489,446.79993
1490,316.1815
1491,257.06927
1492,212.60439
1493,55.548714
1494,16.208565
1495,4.920723
1496,0.6093461
1497,-2.1378074
1498,5.4889617
1499,0.98975235
1500,-3.4755447
1501,0.0841869
1502,1.8815119
1503,0.57157564
1504,7.8174696
1505,-3.0207884
1506,-15.442011
1507,36.348965
1508,135.97888
1509,387.95856
1510,454.56744
1511,419.21957
1512,587.7139
1513,473.05823
1514,333.5773
1515,212.87419
1516,282.0837
1517,47.057957
1518,-0.009725731
1519,1.3910477
1520,-2.1136875
1521,-1.602566
1522,-3.677691
1523,-12.930716
1524,-22.366686
1525,-12.7287035
1526,-9.584806
1527,-28.767061
1528,-27.68263
1529,-14.473447
1530,198.00706
1531,262.34695
1532,350.23123
1533,426.12967
1534,387.1459
1535,491.98245
1536,470.1615
1537,567.5326
1538,286.79715
1539,261.32812
1540,251.11394
1541,84.8206
1542,-2.4792686
1543,-0.1137143
1544,1.6555488
1545,3.9016094
1546,1.6555488
1547,1.24379
1548,-5.032033
1549,-4.647523
1550,-5.036175
1551,-3.9973774
1552,-4.0770636
1553,-2.6633356
1554,-3.1781785
1555,49.906425
1556,242.30078
1557,387.5936
1558,536.04004
1559,475.36182
1560,509.67258
1561,366.0928
1562,277.5426
1563,300.80695
1564,163.50343
1565,67.65545
1566,2.3797793
1567,13.98008
1568,16.088928
1569,12.861236
1570,3.5454104
1571,-6.8612576
1572,-12.284615
1573,1.0626401
1574,11.629589
1575,12.118232
1576,15.825379
1577,-2.7767649
1578,6.0687575
1579,106.377815
1580,318.56342
1581,426.86655
1582,554.4046
1583,698.6813
1584,706.45953
1585,677.5217
1586,515.884
1587,404.61395
1588,275.54852
1589,84.47261
1590,19.649412
1591,15.530419
1592,4.4646235
1593,11.513368
1594,6.610889
1595,12.556372
1596,12.803486
1597,24.591967
1598,1.809889
1599,3.923212
1600,16.913918
1601,13.191834
1602,15.981707
1603,117.64351
1604,324.5476
1605,382.40356
1606,627.0109
1607,661.62006
1608,700.27594
1609,573.24786
1610,485.9887
1611,345.7673
1612,159.51054
1613,37.113655
1614,-11.990423
1615,-11.228984
1616,7.1479588
1617,2.0008988
1618,-11.31642
1619,-10.260923
1620,-34.692837
1621,-9.513651
1622,5.152413
1623,-8.31538
1624,2.2879138
1625,-0.056480363
1626,20.298492
1627,42.06052
1628,214.34955
1629,460.79
1630,338.72754
1631,421.9229
1632,294.52582
1633,249.69418
1634,327.23837
1635,216.99786
1636,113.74253
1637,40.547127
1638,0.6476277
1639,-2.3401413
1640,16.466831
1641,11.959791
1642,-9.911246
1643,0.13178754
1644,-3.8019266
1645,-4.7473907
1646,-9.581532
1647,10.491221
1648,-4.9624643
1649,4.990643
1650,1.0139855
1651,60.126892
1652,194.04941
1653,318.52612
1654,475.92603
1655,545.7712
1656,505.76816
1657,466.5029
1658,510.08698
1659,298.14822
1660,161.78575
1661,46.912724
1662,-1.1297721
1663,-37.05722
1664,-8.128587
1665,-3.3658412
1666,-3.2561421
1667,-3.7371764
1668,22.14527
1669,6.6205425
1670,-4.529111
1671,-6.4056263
1672,6.3832536
1673,-5.7104363
1674,-2.3018434
1675,47.606956
1676,182.71754
1677,435.63495
1678,431.31476
1679,472.01614
1680,463.33942
1681,500.28955
1682,350.5033
1683,272.8239
1684,229.48904
1685,67.038086
1686,-1.2768449
1687,3.4355562
1688,-3.7620745
1689,0.6824532
1690,-2.1560655
1691,-0.47222131
1692,-2.4925458
1693,2.3321152
1694,0.57157564
1695,1.1420702
1696,2.5694685
1697,-0.050154217
1698,-7.7978177
1699,34.702835
1700,178.76971
1701,264.49622
1702,519.4223
1703,525.3067
1704,363.8659
1705,336.0904
1706,155.92787
1707,191.41035
1708,168.68591
1709,67.634125
1710,-2.135964
1711,2.0140078
1712,9.044159
1713,11.461462
1714,0.1401451
1715,3.4340062
1716,3.818039
1717,4.9164734
1718,13.32198
1719,7.507702
1720,5.5543423
1721,8.525429
1722,7.902754
1723,47.919037
1724,190.14996
1725,454.83154
1726,512.67224
1727,364.5488
1728,638.6652
1729,635.89886
1730,494.92313
1731,257.1551
1732,329.46558
1733,105.755554
1734,2.0424075
1735,-12.077048
1736,5.418481
1737,6.291387
1738,7.122362
1739,6.8666315
1740,-2.7289977
1741,-1.2396348
1742,0.7772338
1743,8.901102
1744,4.199298
1745,10.288069
1746,24.379433
