,lossauces
1000,431.467
1001,457.57425
1002,524.40015
1003,519.91766
1004,483.02176
1005,368.23218
1006,329.78952
1007,228.82153
1008,88.45906
1009,16.33668
1010,2.24674
1011,15.973668
1012,19.32276
1013,11.849478
1014,21.308208
1015,43.834755
1016,37.791058
1017,6.4663258
1018,6.0477
1019,-4.3849845
1020,22.760876
1021,12.685874
1022,147.12088
1023,406.98636
1024,455.17877
1025,515.13556
1026,611.19806
1027,631.8968
1028,422.05243
1029,439.91605
1030,208.97531
1031,214.42833
1032,127.05427
1033,11.072866
1034,51.529015
1035,46.990818
1036,41.179928
1037,46.298893
1038,35.896976
1039,42.10986
1040,20.741705
1041,29.903296
1042,9.339239
1043,11.591418
1044,29.027718
1045,40.655567
1046,122.26316
1047,338.98233
1048,478.44418
1049,620.0669
1050,716.2885
1051,692.21594
1052,576.1028
1053,469.92346
1054,357.20114
1055,240.38039
1056,76.478775
1057,-28.672895
1058,13.452297
1059,3.2797487
1060,49.470272
1061,19.74606
1062,22.842264
1063,40.599792
1064,0.39708635
1065,41.16565
1066,21.333914
1067,23.7451
1068,3.6797996
1069,26.47714
1070,94.997215
1071,223.39053
1072,201.63875
1073,228.28452
1074,303.41336
1075,424.7191
1076,455.3402
1077,409.79114
1078,250.38664
1079,207.19743
1080,2.7005775
1081,18.221735
1082,6.2775865
1083,17.65593
1084,27.649471
1085,3.832648
1086,22.536419
1087,8.209416
1088,35.0262
1089,3.4765043
1090,43.616695
1091,-58.356575
1092,-69.8391
1093,3.7511344
1094,21.697865
1095,240.99132
1096,360.9409
1097,522.9535
1098,578.78217
1099,699.9981
1100,549.65814
1101,526.35657
1102,328.3256
1103,289.9773
1104,85.75073
1105,16.06779
1106,11.025318
1107,17.801857
1108,41.10697
1109,23.28546
1110,48.9088
1111,8.744229
1112,2.2735622
1113,-3.2739754
1114,4.310401
1115,-19.294584
1116,-5.616888
1117,8.704012
1118,58.546856
1119,319.7808
1120,462.7345
1121,678.4967
1122,651.521
1123,644.5442
1124,570.9061
1125,480.27765
1126,343.39706
1127,305.37314
1128,77.99809
1129,11.430082
1130,13.921303
1131,3.1267354
1132,1.6292769
1133,9.304844
1134,2.1681454
1135,14.573334
1136,-0.7566069
1137,-6.5189824
1138,-3.4882092
1139,5.237389
1140,0.4632411
1141,16.333591
1142,119.07062
1143,319.9681
1144,522.1774
1145,621.02826
1146,679.9222
1147,652.9716
1148,635.2203
1149,477.46597
1150,364.5535
1151,258.1157
1152,96.239006
1153,28.682873
1154,29.864883
1155,21.037148
1156,13.942335
1157,17.285992
1158,26.214582
1159,20.317785
1160,46.985703
1161,18.31267
1162,19.32404
1163,34.63626
1164,1.0984017
1165,22.082563
1166,111.26091
1167,355.58557
1168,409.78802
1169,289.4895
1170,671.55176
1171,662.1016
1172,567.6476
1173,513.95105
1174,295.40067
1175,218.45294
1176,72.38881
1177,14.418031
1178,10.668834
1179,11.983076
1180,25.11742
1181,38.155834
1182,25.038385
1183,43.955044
1184,11.600244
1185,2.7046757
1186,2.4790037
1187,10.818724
1188,-1.8464172
1189,18.625158
1190,99.65431
1191,374.03973
1192,538.7108
1193,611.1112
1194,641.3813
1195,308.88583
1196,591.45886
1197,389.15723
1198,341.54865
1199,256.58246
1200,111.88603
1201,9.796662
1202,20.677614
1203,12.889655
1204,23.320704
1205,59.586372
1206,37.12439
1207,19.94493
1208,3.192758
1209,-18.296623
1210,38.18976
1211,-1.5980488
1212,35.132137
1213,89.85663
1214,241.4187
1215,310.87836
1216,362.16483
1217,489.83774
1218,452.36264
1219,540.2622
1220,582.30817
1221,476.09134
1222,358.18204
1223,267.1565
1224,133.12456
1225,33.233807
1226,9.379689
1227,33.93001
1228,1.3267137
1229,14.285398
1230,42.47827
1231,-2.5198183
1232,14.12847
1233,15.804727
1234,22.301386
1235,34.52119
1236,32.888832
1237,44.934174
1238,127.785164
1239,342.03842
1240,388.63882
1241,693.95746
1242,365.3814
1243,677.56616
1244,513.8641
1245,444.4076
1246,288.09164
1247,176.73119
1248,59.698154
1249,0.0562027
1250,15.426398
1251,-8.881205
1252,32.415127
1253,18.64781
1254,15.968927
1255,29.021372
1256,1.3749595
1257,14.968319
1258,-6.344154
1259,2.0502326
1260,11.12537
1261,13.093117
1262,129.93872
1263,318.5042
1264,514.2982
1265,618.5361
1266,735.4047
1267,751.56976
1268,593.34485
1269,485.41177
1270,367.04
1271,253.40083
1272,107.48338
1273,61.115913
1274,28.123783
1275,23.774849
1276,10.804016
1277,12.209289
1278,0.9067112
1279,24.38254
1280,31.263405
1281,67.375694
1282,9.533957
1283,10.027321
1284,7.9764147
1285,29.259037
1286,202.45671
1287,391.6888
1288,546.85156
1289,614.2084
1290,743.8039
1291,716.94476
1292,569.2329
1293,415.8014
1294,389.81113
1295,211.09248
1296,61.131653
1297,29.586517
1298,28.25732
1299,34.065903
1300,54.63896
1301,36.981976
1302,14.624623
1303,54.08074
1304,21.437773
1305,10.256367
1306,23.451612
1307,13.937873
1308,21.420353
1309,32.84674
1310,230.92862
1311,248.42995
1312,264.31528
1313,529.4822
1314,485.42993
1315,492.34244
1316,453.6902
1317,279.54645
1318,247.37907
1319,192.39513
1320,82.304726
1321,30.638458
1322,-6.287117
1323,14.657578
1324,16.80231
1325,36.43702
1326,18.803217
1327,-11.30482
1328,18.550703
1329,38.983982
1330,-24.731344
1331,-2.7035568
1332,-1.9103063
1333,20.715868
1334,208.57993
1335,451.7778
1336,552.9652
1337,621.4288
1338,729.8709
1339,671.77277
1340,513.32135
1341,431.75162
1342,337.13416
1343,222.06776
1344,81.62844
1345,-13.7026005
1346,-4.5845957
1347,-26.675858
1348,-24.986008
1349,-20.366068
1350,-1.1177822
1351,-10.289377
1352,4.6460643
1353,-2.720672
1354,4.471872
1355,-1.7236534
1356,5.0068693
1357,44.191185
1358,143.1456
1359,395.17996
1360,608.8614
1361,738.9061
1362,659.16486
1363,718.2135
1364,657.36646
1365,489.679
1366,514.43304
1367,392.72476
1368,105.46557
1369,33.87153
1370,24.653152
1371,24.9684
1372,41.967712
1373,15.069982
1374,43.881775
1375,26.48525
1376,2.2035825
1377,34.429623
1378,54.87553
1379,14.631014
1380,45.614716
1381,75.12235
1382,239.86813
1383,277.63245
1384,283.20438
1385,653.6832
1386,705.7865
1387,646.6391
1388,691.48987
1389,475.76517
1390,497.55844
1391,348.90002
1392,92.91309
1393,57.787624
1394,31.28875
1395,71.66776
1396,-14.927538
1397,50.097477
1398,42.910004
1399,30.700237
1400,34.90702
1401,35.892002
1402,94.58868
1403,81.4116
1404,46.720776
1405,77.78035
1406,283.92932
1407,319.91064
1408,395.12354
1409,612.849
1410,717.2358
1411,837.02167
1412,874.09033
1413,578.7962
1414,458.32495
1415,292.80475
1416,99.55163
1417,34.2191
1418,27.157145
1419,41.23844
1420,7.4992657
1421,28.584984
1422,29.882181
1423,87.61212
1424,28.228588
1425,33.14198
1426,36.85382
1427,36.55333
1428,50.10916
1429,80.938255
1430,309.82074
1431,535.4197
1432,703.72
1433,727.3017
1434,911.1384
1435,845.3091
1436,793.53784
1437,562.9681
1438,400.62808
1439,311.36655
1440,131.5036
1441,87.704796
1442,-0.19672593
1443,-4.3966594
1444,6.4057994
1445,2.456915
1446,23.195118
1447,23.57915
1448,18.078753
1449,10.723151
1450,8.400556
1451,21.717377
1452,24.46741
1453,42.752697
1454,214.53738
1455,366.87616
1456,629.48145
1457,730.3191
1458,775.3735
1459,800.9027
1460,649.3438
1461,484.695
1462,289.6782
1463,117.81152
1464,133.54904
1465,44.419235
1466,28.092201
1467,0.97004706
1468,7.476486
1469,59.571815
1470,8.779373
1471,9.665846
1472,5.3643827
1473,-0.40951127
1474,41.53323
1475,25.16788
1476,31.21337
1477,34.376434
1478,144.32869
1479,529.19305
1480,681.7792
1481,749.05774
1482,924.9833
1483,884.2777
1484,782.868
1485,594.1831
1486,559.4389
1487,392.78763
1488,159.2497
1489,86.78463
1490,40.711693
1491,70.497406
1492,31.130173
1493,28.548382
1494,-0.24187535
1495,-48.36069
1496,10.437353
1497,10.396359
1498,13.572952
1499,9.960114
1500,-10.853219
1501,104.21615
1502,137.51978
1503,462.46622
1504,656.6937
1505,840.7416
1506,783.2998
1507,731.88074
1508,741.2282
1509,499.36148
1510,478.42365
1511,177.80762
1512,96.619286
1513,8.617936
1514,-9.285739
1515,52.129025
1516,21.693045
1517,6.460787
1518,-4.102589
1519,-4.5977116
1520,5.7601576
1521,6.0931644
1522,-18.45292
1523,6.5912294
1524,20.602633
1525,120.373405
1526,146.85155
1527,435.73486
1528,591.2551
1529,719.9945
1530,778.33234
1531,730.79553
1532,671.7118
1533,477.3849
1534,385.81982
1535,228.69058
1536,68.096344
1537,34.773094
1538,51.62735
1539,21.836409
1540,13.08596
1541,19.299189
1542,68.54804
1543,61.545174
1544,-12.780594
1545,-21.682285
1546,26.431778
1547,45.039284
1548,35.269733
1549,64.2664
1550,183.30301
1551,705.72015
1552,776.31586
1553,776.06165
1554,796.4458
1555,814.3332
1556,768.8096
1557,610.8477
1558,362.9408
1559,255.9838
1560,110.045
1561,-2.9395452
1562,-13.1348505
1563,15.394037
1564,54.70936
1565,64.47917
1566,50.36132
1567,22.465275
1568,31.728392
1569,45.006084
1570,58.826786
1571,82.946976
1572,60.776764
1573,112.789116
1574,273.983
1575,332.3377
1576,615.5124
1577,616.3448
1578,629.567
1579,789.9642
1580,691.2127
1581,542.2613
1582,443.13547
1583,271.1948
1584,135.40839
1585,69.60206
1586,20.006859
1587,17.919827
1588,4.9384646
1589,34.59708
1590,15.66809
1591,35.44048
1592,1.4603128
1593,14.201922
1594,14.86325
1595,23.891834
1596,23.622646
1597,32.601368
1598,152.52484
1599,467.39868
1600,488.2709
1601,468.71124
1602,745.3164
1603,673.0893
1604,647.1967
1605,415.5789
1606,383.84402
1607,248.42989
1608,68.86528
1609,45.111168
1610,-13.11386
1611,25.63316
1612,11.363961
1613,16.74436
1614,2.4827921
1615,2.3177495
1616,4.919912
1617,-0.7603002
1618,-5.3707576
1619,1.6609828
1620,-6.797347
1621,18.167433
1622,192.5581
1623,531.21173
1624,632.21564
1625,680.57434
1626,709.83167
1627,706.49817
1628,705.37573
1629,507.5001
1630,437.1934
1631,275.93906
1632,74.715904
1633,61.47649
1634,16.463968
1635,18.372097
1636,22.54658
1637,18.880503
1638,9.008375
1639,-7.0796776
1640,8.130213
1641,35.517235
1642,-1.5181365
1643,-0.9988317
1644,34.44873
1645,108.65181
1646,209.89677
1647,252.85783
1648,632.27124
1649,765.39514
1650,741.2839
1651,735.48315
1652,727.51917
1653,554.21545
1654,262.8056
1655,306.7253
1656,55.876392
1657,14.966412
1658,29.399897
1659,11.130192
1660,30.489025
1661,-10.454644
1662,3.1621966
1663,31.408737
1664,48.012394
1665,17.138517
1666,11.789015
