,helipuerto
1264,4.1648417
1265,-4.5415044
1266,-11.772544
1267,8.661025
1268,81.49302
1269,272.1302
1270,534.0724
1271,734.8723
1272,672.26276
1273,724.97345
1274,705.7941
1275,579.4004
1276,425.67468
1277,283.98807
1278,102.99447
1279,28.540117
1280,5.679137
1281,17.563274
1282,40.21014
1283,13.442276
1284,-10.344885
1285,-6.9397163
1286,-17.675169
1287,26.307047
1288,35.42848
1289,49.755802
1290,47.62469
1291,69.407104
1292,235.6564
1293,401.79922
1294,553.1275
1295,645.6161
1296,695.4348
1297,710.9976
1298,646.8734
1299,579.76874
1300,422.045
1301,265.33868
1302,163.5083
1303,50.20643
1304,93.15479
1305,94.32011
1306,41.70872
1307,80.41936
1308,50.153484
1309,81.70283
1310,122.57686
1311,134.35219
1312,146.05241
1313,10.877693
1314,-8.390813
1315,15.92182
1316,154.42255
1317,381.04492
1318,475.31445
1319,453.3266
1320,493.48264
1321,571.6333
1322,650.87695
1323,450.2901
1324,443.96194
1325,280.57556
1326,11.249799
1327,-5.744381
1328,29.455467
1329,43.33448
1330,38.170166
1331,31.043795
1332,16.373041
1333,-0.006666787
1334,-8.908992
1335,17.072132
1336,1.1032747
1337,4.728025
1338,1.4329647
1339,28.63142
1340,75.577156
1341,479.45615
1342,659.41925
1343,629.4476
1344,758.13416
1345,701.82336
1346,698.2964
1347,559.2412
1348,482.85492
1349,408.2332
1350,127.82087
1351,44.6997
1352,29.21452
1353,-8.723577
1354,15.150375
1355,3.180762
1356,10.29328
1357,-10.926874
1358,26.55004
1359,-23.637728
1360,-3.7467108
1361,-2.950283
1362,1.8908719
1363,17.053213
1364,135.3224
1365,351.17496
1366,490.48682
1367,624.4646
1368,753.1457
1369,830.6047
1370,744.93445
1371,472.4757
1372,380.68536
1373,216.34668
1374,36.31443
1375,20.138817
1376,1.2860607
1377,14.923081
1378,-25.688787
1379,-22.743416
1380,30.53933
1381,-5.3106084
1382,-4.190521
1383,-4.606094
1384,-3.1257086
1385,-3.6610591
1386,-6.3220434
1387,-1.0058601
1388,52.28301
1389,347.40872
1390,522.94885
1391,718.6293
1392,773.5019
1393,790.1164
1394,705.85864
1395,528.58887
1396,376.39426
1397,365.79276
1398,132.98097
1399,63.068317
1400,20.263659
1401,7.070772
1402,-10.279112
1403,33.720943
1404,18.406511
1405,-5.526889
1406,0.11937236
1407,1.8117728
1408,-5.6723537
1409,26.077497
1410,-3.8034487
1411,14.980515
1412,109.35526
1413,455.11432
1414,649.9997
1415,670.30066
1416,833.07025
1417,816.9741
1418,725.31445
1419,564.3483
1420,511.46304
1421,265.49344
1422,133.05287
1423,78.34055
1424,12.175501
1425,0.99367166
1426,7.624717
1427,37.002625
1428,82.03143
1429,75.65794
1430,-3.9034963
1431,9.904186
1432,0.16862547
1433,-4.893758
1434,-5.3525233
1435,-5.9744205
1436,35.590527
1437,297.35434
1438,500.79172
1439,724.41614
1440,881.03046
1441,880.33093
1442,665.116
1443,689.23926
1444,495.82352
1445,372.4751
1446,94.58888
1447,77.78333
1448,82.020775
1449,12.731271
1450,16.671541
1451,57.14103
1452,65.10418
1453,17.381514
1454,60.51546
1455,8.682142
1456,3.439063
1457,6.7780976
1458,45.910645
1459,9.361706
1460,65.78025
1461,333.92728
1462,567.1132
1463,764.0822
1464,832.843
1465,857.83984
1466,749.0278
1467,604.6595
1468,395.59653
1469,323.98886
1470,88.83624
1471,92.465866
1472,62.73533
1473,60.04498
1474,17.13334
1475,-32.0505
1476,41.6872
1477,20.900469
1478,21.434523
1479,-5.7306824
1480,-15.270463
1481,-5.2179627
1482,-1.6836009
1483,8.423915
1484,194.4062
1485,515.5842
1486,669.35315
1487,748.08295
1488,780.66595
1489,886.07745
1490,707.4205
1491,406.4164
1492,462.4626
1493,340.29208
1494,172.85678
1495,61.846394
1496,17.644075
1497,30.195873
1498,23.98949
1499,44.38632
1500,3.9317973
1501,-11.550948
1502,-2.7833724
1503,25.428246
1504,14.599476
1505,16.573147
1506,1.8000017
1507,2.424005
1508,146.55022
1509,536.2078
1510,681.141
1511,762.79486
1512,872.6618
1513,824.4388
1514,782.6385
1515,615.1377
1516,495.99136
1517,395.92892
1518,170.8843
1519,87.18673
1520,60.705315
1521,21.682432
1522,43.726833
1523,49.835903
1524,8.583682
1525,-7.7545376
1526,-8.667339
1527,13.571992
1528,20.905294
1529,8.34359
1530,1.1613793
1531,20.987803
1532,72.64456
1533,383.00522
1534,543.7035
1535,686.7384
1536,787.09576
1537,740.03186
1538,600.1807
1539,424.1074
1540,357.694
