,bodeganorte
732,18.724794
733,5.7662644
734,9.233655
735,5.0291157
736,-4.692304
737,0.18242222
738,-3.386106
739,-2.3119173
740,-1.6981187
741,3.02251
742,-1.2824625
743,6.1374216
744,155.29501
745,344.43695
746,479.65244
747,467.4829
748,302.74545
749,251.51328
750,235.66379
751,165.25304
752,169.76082
753,54.045506
754,-2.2923489
755,1.9840859
756,7.634584
757,12.5637455
758,12.19576
759,9.723731
760,9.751647
761,-2.4661696
762,-2.9596066
763,2.1081572
764,0.5255652
765,28.293169
766,149.08917
767,179.923
768,211.29793
769,290.08252
770,398.3693
771,438.93036
772,277.03787
773,158.7518
774,104.6372
775,42.337826
776,2.53732
777,3.7266412
778,0.17553675
779,-2.9791842
780,-3.3695445
781,1.9685278
782,9.440026
783,3.5446796
784,1.8042837
785,6.5772414
786,2.8955564
787,8.968052
788,144.60907
789,222.92891
790,254.42915
791,291.0503
792,214.88469
793,236.6509
794,218.37167
795,126.204506
796,181.48863
797,43.890285
798,-10.83369
799,14.322845
800,-3.5303721
801,-14.506971
802,2.1761458
803,-14.085353
804,6.882987
805,4.9494314
806,4.680648
807,51.701218
808,-2.9399853
809,36.816654
810,126.30058
811,155.59134
812,197.24654
813,230.85028
814,264.3999
815,230.78574
816,304.87537
817,192.24538
818,164.38313
819,-50.041702
820,-22.927912
821,14.823343
822,8.600598
823,15.704926
824,9.182709
825,5.036476
826,2.844397
827,8.493429
828,4.18575
829,3.652409
830,4.0001073
831,-2.9061952
832,37.788982
833,147.6515
834,123.88825
835,248.96959
836,224.10272
837,371.39197
838,218.80263
839,158.43864
840,124.48162
841,114.24687
842,6.6179647
843,-2.2724233
844,-4.1461945
845,1.9779569
846,20.009388
847,7.825893
848,7.1778984
849,3.624092
850,10.924129
851,-3.9673717
852,3.3121495
853,4.46713
854,0.03070677
855,35.481873
856,137.7441
857,198.14597
858,214.43451
859,128.86198
860,225.15836
861,336.3256
862,331.1438
863,164.88535
864,181.2095
865,38.10983
866,-2.3621702
867,7.7451706
868,-1.8029801
869,4.0274854
870,-1.7359066
871,-4.4690294
872,3.8827794
873,6.9805393
874,-0.3816115
875,-0.37277475
876,5.119952
877,7.18179
878,14.1234865
879,89.00569
880,164.07744
881,297.6445
882,384.31104
883,417.2326
884,164.07741
885,196.3402
886,123.924736
887,224.48708
888,37.12871
889,-9.565466
890,7.1129036
891,15.867934
892,1.5607655
893,12.9150095
894,-0.90438366
895,4.618051
896,4.47127
897,5.230729
898,-0.25428796
899,-2.1271245
900,-3.3435688
901,156.52502
902,249.65338
903,250.47299
904,418.1994
905,309.80093
906,315.02945
907,191.26463
908,100.717224
909,142.76283
910,-2.1614857
911,-1.9758339
912,12.711362
913,13.648478
914,4.241909
915,1.1958487
916,7.9477353
917,5.5706387
918,2.6356678
919,5.532455
920,-7.2097263
921,6.1143284
922,5.4771843
923,127.717834
924,187.3201
925,212.58534
926,258.03717
927,427.885
928,406.8604
929,366.709
930,321.75296
931,344.30804
932,73.04223
933,47.638233
934,82.09313
935,74.215485
936,43.473866
937,164.43462
938,219.01648
939,328.42053
940,249.03621
941,271.12088
942,291.09686
943,133.11063
944,28.623106
945,-17.593843
946,12.248457
947,-10.952349
948,-10.719774
949,-15.35905
950,12.469238
951,0.39967573
952,-1.4832063
953,-3.8837292
954,-1.5366601
955,1.9606557
956,296.91275
957,412.52924
958,389.34354
959,437.8522
960,371.048
961,274.7139
962,233.8154
963,8.999976
964,10.360739
965,40.387672
966,10.49353
967,13.503375
968,7.576164
969,-3.2384682
970,2.177574
971,1.0901138
972,-2.0625243
973,4.198355
974,3.404437
975,0.4135482
976,25.206287
977,154.76945
978,161.20915
979,230.07527
980,259.43484
981,211.49402
982,176.45114
983,113.71836
984,69.92801
985,105.48963
986,-2.180017
987,-9.821089
988,-5.250292
989,-19.06005
990,-14.827181
991,17.241283
992,-2.0980046
993,-3.9102106
994,4.244937
995,-0.66345537
996,-5.101482
997,17.471022
998,37.06078
999,81.66802
1000,187.42014
1001,406.7647
1002,503.95724
