,balsa-laguna
994,-8.246244
995,-8.645246
996,-3.0378587
997,50.812454
998,165.15436
999,146.65558
1000,173.05634
1001,121.514175
1002,103.82475
1003,576.48865
1004,236.93782
1005,532.30804
1006,492.40042
1007,240.04288
1008,37.956577
1009,-1.8739609
1010,-2.171514
1011,7.214466
1012,0.5740381
1013,0.5809305
1014,7.393833
1015,12.275928
1016,3.0436096
1017,12.737439
1018,1.6524414
1019,0.22682828
1020,0.4838541
1021,18.511192
1022,67.54819
1023,341.108
1024,461.6932
1025,682.9739
1026,605.32404
1027,743.4634
1028,525.1331
1029,437.58878
1030,363.311
1031,149.08801
1032,56.686966
1033,9.068275
1034,-2.3645961
1035,-2.2794018
1036,-1.4766395
1037,-0.36926988
1038,1.4247919
1039,-5.5408707
1040,-3.4306138
1041,-11.240693
1042,-17.997618
1043,-14.9770155
1044,-20.80343
1045,22.598303
1046,233.04439
1047,194.54295
1048,304.05304
1049,553.9484
1050,393.90683
1051,290.48697
1052,238.63965
1053,348.71985
1054,270.0974
1055,62.217216
1056,16.300697
1057,6.0509057
1058,2.2012186
1059,3.2989087
1060,4.396302
1061,14.781953
1062,7.5547194
1063,3.0456896
1064,1.974717
1065,1.1687807
1066,8.395156
1067,8.53067
1068,9.609871
1069,124.32323
1070,232.7132
1071,403.6908
1072,641.2517
1073,502.8324
1074,519.2893
1075,512.51917
1076,423.90866
1077,273.27057
1078,128.57553
1079,90.59196
1080,47.93592
1081,16.600233
1082,-2.1124313
1083,53.28817
1084,39.354183
1085,14.535469
1086,9.810125
1087,-5.70735
1088,-1.916019
1089,-8.914934
1090,-4.1128845
1091,0.19222933
1092,0.79695386
1093,41.331768
1094,117.78791
1095,180.89929
1096,279.53833
1097,352.4196
1098,378.78415
1099,377.3572
1100,255.77565
1101,172.11282
1102,107.919014
1103,46.37419
1104,4.9149613
1105,3.060201
1106,7.161401
1107,-7.3458524
1108,-0.7744079
1109,0.20045757
1110,-3.1299415
1111,1.7678719
1112,4.7463684
1113,1.8856862
1114,2.8957708
1115,12.057829
1116,3.0531273
1117,55.598923
1118,179.36647
1119,284.7896
1120,482.45154
1121,464.6541
1122,578.5158
1123,523.2194
1124,256.32242
1125,222.27332
1126,103.46762
1127,58.492737
1128,0.42753112
1129,7.790951
1130,3.380734
1131,3.3555632
1132,0.7462972
1133,5.2433133
1134,-4.2564945
1135,3.2947748
1136,2.7769585
1137,3.7959406
1138,-3.0646691
1139,9.83358
1140,8.756869
1141,92.635025
1142,231.24745
1143,308.7692
1144,517.8702
1145,549.33295
1146,560.23425
1147,592.23535
1148,401.31448
1149,195.26132
1150,107.73769
1151,28.131218
1152,24.236382
1153,0.9965237
1154,-2.210788
1155,0.54849
1156,-2.902032
1157,1.7275189
1158,-1.0603068
1159,2.180183
1160,-0.767606
1161,0.6923594
1162,4.7042646
1163,0.36543477
1164,-0.574272
1165,29.00633
1166,267.20874
1167,397.40027
1168,531.3694
1169,535.39557
1170,759.6137
1171,480.86002
1172,563.12823
1173,220.9185
1174,243.55911
1175,92.66455
1176,34.955162
1177,40.17162
1178,16.537622
1179,-1.3445241
1180,18.270683
1181,-11.683141
1182,-9.907764
1183,-25.904251
1184,210.50298
1185,181.12773
1186,234.51494
1187,214.4588
1188,279.59048
1189,322.63617
1190,334.48608
1191,377.82065
1192,426.31476
1193,594.41235
1194,807.20044
1195,688.7489
1196,526.19476
1197,277.88715
1198,258.04025
1199,47.070095
1200,-0.97025394
1201,-6.8323374
1202,-5.9871087
1203,-12.500357
1204,16.740814
1205,-9.449134
1206,-24.349562
1207,-14.679281
1208,-5.875543
1209,-33.13461
1210,-53.463108
1211,-55.52715
1212,-7.024817
1213,28.313137
1214,3.8076992
1215,336.59433
1216,312.09485
1217,464.80435
1218,740.3766
1219,266.2913
1220,127.06621
1221,203.44142
1222,119.48036
1223,54.06262
1224,-26.045319
1225,4.692418
1226,15.6678
1227,13.611467
1228,16.40039
1229,-14.93388
1230,14.402514
1231,46.633728
1232,13.7240925
1233,20.522629
1234,31.310295
1235,3.8647413
1236,-68.12554
1237,123.84612
1238,114.06489
1239,108.79316
1240,149.63506
1241,518.2526
1242,702.4817
1243,628.11273
1244,484.18768
1245,272.8934
1246,145.76091
1247,81.72654
1248,-9.87859
1249,2.7239225
1250,-6.6621437
1251,29.881298
1252,36.070866
1253,-2.8584142
1254,-9.598391
1255,-3.947959
1256,3.8642108
1257,-3.301654
1258,5.974838
1259,6.1672344
1260,24.810709
1261,38.852383
1262,243.88316
1263,351.67868
1264,412.59692
1265,294.26163
1266,342.72836
1267,349.1484
1268,410.863
1269,237.95624
1270,199.68787
1271,53.13223
1272,-5.3205624
1273,-3.1712193
1274,0.8121605
1275,0.4964562
1276,-1.9488697
1277,-2.0038142
1278,3.342418
1279,3.4590158
1280,-3.8854806
1281,-13.07985
1282,44.906075
1283,232.78584
1284,398.89886
1285,573.5362
1286,716.6056
1287,581.9432
1288,288.54086
1289,209.65538
1290,193.22574
1291,224.16432
1292,59.334305
1293,29.83653
1294,0.44953805
1295,7.0281878
1296,-1.0345777
1297,-1.5096492
1298,8.490955
1299,0.22718954
1300,25.075792
1301,1.0865475
1302,11.64714
1303,4.6584644
1304,13.363482
1305,24.59968
1306,99.39534
1307,454.16586
1308,279.49164
1309,564.1521
1310,660.6594
1311,847.3904
1312,631.8136
1313,470.32608
1314,348.13147
1315,283.3306
1316,61.409443
1317,-5.5164785
1318,-10.036871
1319,-6.8486795
1320,-3.357794
1321,-4.887886
1322,-4.9085364
1323,-3.2296038
1324,-2.6320796
1325,-2.6320796
1326,-1.9441216
1327,-5.17947
1328,10.82688
1329,52.822643
1330,84.74168
1331,145.99945
1332,165.39984
1333,126.13405
1334,129.90395
1335,74.952576
1336,104.601494
1337,153.00682
1338,93.908875
1339,30.860275
1340,-13.110075
1341,-7.942504
1342,-4.505685
1343,-4.008877
1344,-8.117434
1345,-1.1551746
1346,-0.15149388
1347,-8.3580065
1348,-12.034476
1349,-0.35254171
1350,-0.5895656
1351,4.2153463
1352,6.8980227
1353,37.103256
1354,324.5355
1355,305.7116
1356,453.43466
1357,392.29092
1358,479.99466
1359,469.0662
1360,494.31345
1361,291.41577
1362,224.90944
1363,73.57271
1364,4.3678203
1365,1.0452
1366,8.088991
