,mont-picocruz
998,-81.544304
999,-78.36233
1000,-15.599235
1001,-1.2069005
1002,9.680894
1003,54.016964
1004,246.76181
1005,546.8881
1006,755.9579
1007,896.24866
1008,974.68115
1009,977.7401
1010,876.35004
1011,809.91504
1012,622.88715
1013,442.08478
1014,134.22926
1015,82.047935
1016,66.15344
1017,69.61293
1018,65.090126
1019,80.6184
1020,27.693668
1021,6.887361
1022,20.688528
1023,19.193941
1024,11.347115
1025,12.09516
1026,19.792368
1027,58.729767
1028,230.80144
1029,533.88727
1030,755.3426
1031,857.1957
1032,899.3692
1033,921.28766
1034,832.2577
1035,735.88654
1036,583.3182
1037,411.00992
1038,99.4211
1039,43.438034
1040,10.300436
1041,14.290502
1042,3.0992904
1043,-12.13482
1044,-27.966934
1045,-16.652279
1046,-36.266033
1047,-7.8822565
1048,-1.6142634
1049,-0.7899331
1050,6.9890714
1051,52.964928
1052,239.77647
1053,518.225
1054,662.6094
1055,787.2894
1056,823.0627
1057,811.8459
1058,771.4922
1059,677.9482
1060,572.3816
1061,387.50955
1062,60.490463
1063,17.537334
1064,9.567416
1065,-7.045992
1066,-2.4806018
1067,-21.891989
1068,-10.653789
1069,-9.588173
1070,-1.9395505
1071,-2.705128
1072,-1.0083723
1073,2.2814207
1074,10.6599
1075,52.51657
1076,207.61674
1077,491.45767
1078,666.95105
1079,780.97406
1080,836.8894
1081,889.90436
1082,786.7413
1083,726.01965
1084,569.38605
1085,418.88202
1086,44.947914
1087,-56.83444
1088,39.08893
1089,-43.70809
1090,40.684296
1091,33.04554
1092,-8.474454
1093,-14.390069
1094,-18.514961
1095,-3.7125435
1096,-11.130059
1097,-25.880928
1098,-12.47269
1099,49.937466
1100,220.0525
1101,467.6856
1102,530.02246
1103,677.1193
1104,879.2358
1105,820.8115
1106,775.887
1107,710.1128
1108,502.49255
1109,373.84692
1110,89.43755
1111,25.998386
1112,-4.864968
1113,26.767147
1114,7.4061007
1115,7.4061007
1116,-25.613132
1117,-4.827467
1118,31.348776
1119,-14.291629
1120,2.7712145
1121,-25.602219
1122,-13.345414
1123,37.493393
1124,170.62714
1125,395.3493
1126,570.1034
1127,671.1675
1128,776.75433
1129,726.232
1130,695.0951
1131,602.97864
1132,430.25516
1133,396.43585
1134,94.16553
1135,27.771385
1136,-16.092121
1137,9.395697
1138,31.402971
1139,30.104488
1140,22.779955
1141,46.405724
1142,-55.00491
1143,20.645802
1144,-6.9443135
1145,17.487375
1146,-71.4318
1147,-27.724516
1148,127.029526
1149,466.21332
1150,535.471
1151,750.4517
1152,861.94525
1153,801.5458
1154,771.8675
1155,719.56964
1156,581.4736
1157,300.4772
1158,92.4519
1159,55.418198
1160,64.25775
1161,1.2492526
1162,-5.202955
1163,-3.2824988
1164,4.3997817
1165,4.2644334
1166,7.4285865
1167,-2.7854264
1168,-7.699558
1169,-2.622099
1170,17.708672
1171,51.28403
1172,154.70042
1173,239.1086
1174,487.07715
1175,664.2335
1176,616.35364
1177,629.9085
1178,557.8973
1179,495.78192
1180,345.69946
1181,243.22086
1182,105.11833
1183,76.21713
1184,42.35001
1185,52.839794
1186,44.962685
1187,25.701933
1188,-73.78976
1189,-119.90674
1190,14.430652
1191,-1.3563968
1192,-111.85606
1193,-109.79189
1194,18.289364
1195,46.11586
1196,149.2357
1197,292.91095
1198,465.5349
1199,574.64844
1200,649.9764
1201,651.86816
1202,650.34314
1203,457.57388
1204,338.27365
1205,217.22493
1206,97.39294
1207,39.7607
1208,1.9760666
1209,14.762806
1210,11.621117
1211,13.8232975
1212,-5.0513597
1213,-7.349755
1214,-2.4325268
1215,1.4644014
1216,-14.623345
1217,-2.691633
1218,16.735508
1219,45.738857
1220,192.48741
1221,269.99924
1222,488.57928
1223,612.87744
1224,666.0829
1225,657.7736
1226,667.76605
1227,639.4786
1228,325.82516
1229,350.09113
1230,58.248333
1231,24.873333
1232,48.830822
1233,53.60449
1234,42.427876
1235,41.536396
1236,-58.82791
1237,5.339764
1238,17.42946
1239,0.0017941892
1240,39.813725
1241,6.210875
1242,39.36692
1243,52.092155
1244,219.9856
1245,474.46564
1246,586.2332
1247,670.6177
1248,918.38715
1249,834.6669
1250,757.86163
1251,707.76227
1252,546.6459
1253,416.79648
1254,75.62231
1255,21.959074
1256,34.79738
1257,10.146789
1258,24.248196
1259,12.856712
1260,13.443933
1261,11.450085
1262,-41.870514
1263,-9.39397
1264,11.235639
1265,-5.351622
1266,19.04357
1267,58.79069
1268,249.17128
1269,463.4971
1270,677.3136
1271,842.1708
1272,897.94086
1273,923.81586
1274,807.80414
1275,746.5903
1276,608.7928
1277,443.10748
1278,91.106834
1279,33.75575
1280,12.722388
1281,10.074319
1282,7.9786696
1283,-2.6789925
1284,28.40523
1285,-18.469759
1286,-44.802734
1287,-18.394606
1288,2.5693736
1289,50.399635
1290,15.607343
1291,50.090557
1292,232.50557
1293,552.276
1294,660.2278
1295,831.7351
1296,893.81464
1297,895.7052
1298,811.6775
1299,749.27625
1300,588.1364
1301,410.72668
1302,81.61758
1303,25.758955
1304,-5.6282654
1305,2.8656604
1306,-0.68023807
1307,1.2654227
1308,-0.94547486
1309,4.053218
1310,6.6667995
1311,8.42201
1312,-0.70909095
1313,2.9246216
1314,14.404979
1315,48.85656
1316,254.57256
1317,514.93176
1318,721.55396
1319,801.7503
1320,864.071
1321,892.63556
1322,849.0067
1323,780.6635
1324,589.58844
1325,464.21536
1326,134.20085
1327,73.66174
1328,29.9225
1329,4.1903143
1330,39.72751
1331,51.004997
1332,-24.330484
1333,-2.3936934
1334,-3.287788
1335,4.866703
1336,-5.180602
1337,-20.99393
1338,8.977875
1339,24.643877
1340,193.32417
1341,500.62225
1342,692.22144
1343,792.47534
1344,834.2603
1345,847.809
1346,807.213
1347,711.2508
1348,568.20715
1349,410.6539
1350,73.08847
1351,-0.987394
1352,-8.582749
1353,12.581108
1354,-50.375793
1355,-98.63722
1356,-44.312447
1357,5.0821795
1358,7.1995635
1359,-0.3165476
1360,-34.947296
1361,-62.73887
1362,-14.135398
1363,67.141525
1364,213.79651
1365,502.7878
1366,712.0769
1367,862.7514
1368,908.5894
1369,913.098
1370,815.31934
1371,722.9737
1372,573.01013
1373,419.26672
1374,41.602383
1375,50.651417
1376,38.2214
1377,44.779266
1378,40.8701
1379,45.348774
1380,-24.322695
1381,-18.01796
1382,-22.90847
1383,-26.761051
1384,-6.7403336
1385,13.702323
1386,22.163408
1387,59.68879
1388,227.13916
1389,477.6846
1390,738.1686
1391,857.99927
1392,885.38434
1393,875.2406
1394,850.8731
1395,795.6773
1396,635.0666
1397,445.71616
1398,149.4921
1399,64.718636
1400,74.427536
1401,46.71394
1402,48.34953
1403,46.98219
1404,-64.996025
1405,16.493708
1406,-71.54342
1407,-82.98825
1408,-74.4571
1409,-79.50202
1410,-34.247097
1411,-40.402237
1412,235.49182
1413,510.17233
1414,534.5012
1415,577.6813
1416,672.785
1417,801.98035
1418,770.6796
1419,675.812
1420,359.93274
1421,267.71777
1422,135.0455
1423,91.64672
1424,34.036507
1425,-43.59558
1426,31.964857
1427,31.394793
1428,0.3293873
1429,-12.310782
1430,-8.80249
1431,-2.9924424
1432,-12.722136
1433,-13.200496
1434,-3.581188
1435,42.337044
1436,189.91136
1437,435.93417
1438,536.5201
1439,526.48486
1440,660.49493
1441,676.6149
1442,528.3629
1443,477.88934
1444,368.9033
1445,267.5801
1446,69.12907
1447,18.18006
1448,-2.5404758
1449,-0.28586626
1450,2.8558254
1451,17.339144
1452,7.2863326
1453,-12.199222
1454,9.498678
1455,1.133514
1456,7.0478625
1457,5.1436534
1458,11.779069
1459,37.43825
1460,163.8099
1461,436.72864
1462,494.8671
1463,527.07837
1464,554.1809
1465,609.35803
1466,488.314
1467,507.23984
1468,315.44476
1469,202.55681
1470,75.22295
1471,15.861163
1472,2.9694304
1473,-145.71309
1474,-84.823395
1475,-21.030273
1476,-151.339
1477,-105.254654
1478,-11.438475
1479,-7.005115
1480,-5.009008
1481,1.6489488
1482,2.4194684
1483,27.890432
1484,190.8544
1485,297.98758
1486,506.1386
1487,558.312
1488,583.8729
1489,818.10223
1490,677.9443
1491,608.82446
1492,458.17673
1493,194.0876
1494,54.246586
1495,-22.788168
1496,10.745686
1497,27.759226
1498,12.218413
1499,28.546879
1500,-9.24066
1501,-22.001007
1502,-7.3405223
1503,-5.38456
1504,-11.166967
1505,-5.6738296
1506,-11.217584
1507,45.51806
1508,201.93683
1509,262.063
1510,532.56195
1511,572.86115
1512,566.51337
1513,753.24634
1514,514.25525
1515,492.8524
1516,475.09528
1517,338.20523
1518,74.42512
1519,22.847494
1520,-0.22556414
1521,-4.664905
1522,10.6125345
1523,16.217476
1524,-1.7043837
1525,-3.4892416
1526,14.685888
1527,4.616135
1528,-33.39991
1529,5.634275
1530,-7.7675805
1531,21.811916
1532,264.46954
1533,473.3751
1534,527.8122
1535,596.6361
