,mont-tricias
963,48.786423
964,86.55859
965,2.2661269
966,-8.503676
967,-4.6817455
968,8.7910595
969,-2.1351895
970,-1.0021169
971,-1.164468
972,20.93255
973,1.1243522
974,14.798668
975,0.024229996
976,1.6940781
977,3.5894916
978,-3.7481902
979,62.509003
980,143.82472
981,129.89764
982,308.08627
983,400.64767
984,397.98752
985,289.63828
986,228.59529
987,105.68763
988,155.6845
989,22.03831
990,-8.986519
991,-0.023650799
992,-3.3723197
993,-2.7895246
994,2.139167
995,-35.244728
996,-3.534549
997,-35.4731
998,4.0142813
999,4.7769823
1000,2.1015382
1001,1.9474137
1002,-1.9526949
1003,16.884756
1004,169.55544
1005,120.572784
1006,200.05888
1007,330.8029
1008,282.3483
1009,187.25919
1010,103.4892
1011,83.54948
1012,45.684643
1013,2.1344736
1014,-2.9365187
1015,-9.7729845
1016,-3.7143536
1017,-17.568428
1018,0.06263827
1019,4.1467757
1020,2.464924
1021,5.8642135
1022,0.6398314
1023,-1.9512978
1024,4.2405534
1025,2.9664748
1026,-0.3457894
1027,15.124083
1028,104.141014
1029,127.84509
1030,129.7062
1031,192.8887
1032,261.40088
1033,169.4515
1034,147.95181
1035,87.2935
1036,115.97723
1037,29.452715
1038,-4.1860876
1039,33.273617
1040,-3.1235805
1041,-4.008262
1042,4.6889563
1043,-10.015499
1044,7.5397196
1045,-1.039965
1046,-3.9069872
1047,7.517866
1048,-1.1386303
1049,-5.525041
1050,-3.5934181
1051,18.566566
1052,117.59389
1053,171.6084
1054,167.04378
1055,111.738365
1056,180.32104
1057,138.69388
1058,195.23088
1059,179.61235
1060,194.56007
1061,5.253825
1062,6.4455996
1063,-5.8572717
1064,-8.938244
1065,-4.5505447
1066,11.005297
1067,-3.8540723
1068,-5.0554514
1069,-2.3655827
1070,-1.5490783
1071,-9.953514
1072,-3.6544304
1073,-2.9385576
1074,-2.0845184
1075,18.269808
1076,128.9596
1077,87.89394
1078,185.68774
1079,160.83936
1080,173.67455
1081,136.89737
1082,87.12142
1083,94.560684
1084,51.272346
1085,2.700269
1086,-1.6250509
1087,1.4504386
1088,1.4996947
1089,-7.017105
1090,-4.355636
1091,-3.204713
1092,-1.1433274
1093,-1.1095282
1094,7.593187
1095,-1.7296133
1096,4.470366
1097,3.6470988
1098,24.177378
1099,29.894182
1100,156.34161
1101,87.27833
1102,185.50952
1103,233.12096
1104,220.658
1105,192.43236
1106,109.0328
1107,159.51979
1108,76.68826
1109,13.499585
1110,-1.5147862
1111,3.268839
1112,-7.991317
1113,7.2787805
1114,0.85693216
1115,2.5827312
1116,-2.6610036
1117,3.5248458
1118,-0.6972401
1119,9.9240465
1120,-4.850443
1121,-10.331917
1122,-3.7755191
1123,15.615198
1124,121.61546
1125,229.26869
1126,199.19572
1127,293.35562
1128,222.37354
1129,144.0416
1130,125.9956
1131,81.89931
1132,103.09825
1133,-9.449814
1134,-8.57476
1135,-9.759238
1136,-14.996907
1137,-8.266875
1138,-5.352491
1139,-1.280856
1140,-16.162302
1141,-6.846183
1142,-3.6971853
1143,-5.9133296
1144,-1.4554731
1145,2.834393
1146,5.6243815
1147,5.786778
1148,145.95815
1149,324.52396
1150,487.6708
1151,306.97644
1152,354.69235
1153,139.80852
1154,94.87775
1155,195.31053
1156,132.02396
1157,19.986002
1158,0.6269644
1159,-0.27602297
1160,-4.2223086
1161,-1.6319621
1162,2.0078628
1163,-0.27119914
1164,-1.2914828
1165,-5.7421436
1166,-17.819574
1167,-12.429663
1168,18.095316
1169,35.243057
1170,15.232165
1171,43.941055
1172,191.75124
1173,333.9392
1174,323.9887
1175,374.47614
1176,427.0901
1177,396.8367
1178,371.54605
1179,139.10707
1180,201.19958
1181,41.6057
1182,35.90893
1183,5.1930733
1184,-20.511929
1185,-3.6552153
1186,4.8600726
1187,-15.3239
1188,0.23511003
1189,-6.336665
1190,-20.339205
1191,3.5349417
1192,-13.21403
1193,1.835019
1194,-8.713673
1195,12.429925
1196,156.21022
1197,444.04523
1198,337.43964
1199,447.97156
1200,515.79376
1201,490.58987
1202,368.78268
1203,250.55183
1204,163.59225
1205,60.575207
1206,-9.414648
1207,1.3933659
1208,3.8696
1209,24.886036
1210,20.13189
1211,28.764874
1212,31.337706
1213,27.451769
1214,28.692179
1215,26.262548
1216,30.028378
1217,40.73117
1218,32.551712
1219,46.597363
1220,183.63333
1221,252.70236
1222,201.2516
1223,221.89877
1224,232.92819
1225,245.37334
1226,163.79778
1227,161.18033
1228,98.91671
1229,42.27992
1230,5.424686
1231,6.2405767
1232,9.358194
1233,11.211192
1234,7.938651
1235,-3.9064307
1236,-4.6117043
1237,-4.9070005
1238,4.4769583
1239,1.7870334
1240,-9.204003
1241,-3.0537121
1242,-0.047083803
1243,45.37645
1244,202.87566
1245,152.025
1246,349.86234
1247,235.71477
1248,435.69635
1249,305.98358
1250,229.74646
1251,199.49066
1252,96.14217
1253,35.030003
1254,-4.852643
1255,-15.816828
1256,3.7845135
1257,4.529689
1258,13.338061
1259,0.39559835
1260,0.6538454
1261,2.3827379
1262,21.054773
1263,20.039038
1264,-1.8158698
1265,3.938372
1266,2.6331475
1267,50.046295
1268,198.0786
1269,313.0634
1270,318.51556
1271,380.4646
1272,387.42584
1273,373.50595
1274,205.54312
1275,204.37062
1276,160.78894
1277,56.434002
1278,11.314138
1279,3.0805337
1280,5.5812845
1281,0.0800942
1282,-3.1086154
1283,-13.582092
1284,40.8277
1285,3.107563
1286,-0.14202821
1287,-9.731873
1288,-0.13466513
1289,7.054245
1290,3.4040709
1291,50.73416
1292,262.47977
1293,366.6012
1294,487.5736
1295,375.0826
1296,342.0236
1297,538.7178
1298,251.32668
1299,168.75034
1300,145.73381
1301,54.68314
1302,0.9886717
1303,-6.79347
1304,6.084265
1305,7.330142
1306,5.674268
1307,-4.0024614
1308,5.0689893
1309,-15.486436
1310,-3.590314
1311,-6.148031
1312,1.0500982
1313,9.571716
1314,7.1296644
1315,93.18494
1316,253.22083
1317,401.72842
1318,626.28955
1319,637.78094
1320,738.239
1321,605.1299
1322,462.29037
1323,374.56873
1324,221.59497
1325,81.88748
1326,-86.36652
1327,24.144302
1328,18.815218
1329,1.0281026
1330,19.779305
