,centrovis-aemet
790,406.55045
791,349.59204
792,534.79193
793,506.01233
794,419.2244
795,233.43791
796,151.0999
797,8.588195
798,-4.3069324
799,6.638291
800,7.7105346
801,5.3591413
802,24.792063
803,-9.73014
804,2.0635948
805,6.4393907
806,13.288284
807,3.9576964
808,7.408661
809,-4.5751796
810,2.017242
811,32.146046
812,164.09029
813,409.1243
814,557.99225
815,529.4687
816,546.04236
817,363.81223
818,274.82764
819,167.82399
820,150.25372
821,38.945488
822,8.118375
823,37.879063
824,2.025265
825,38.525238
826,32.022564
827,-13.302559
828,2.964067
829,-11.761836
830,4.3113565
831,-0.95697296
832,-3.9204936
833,2.9207807
834,4.3141665
835,-0.5253097
836,203.69576
837,411.51746
838,668.99115
839,610.6635
840,661.92285
841,570.79486
842,375.5483
843,260.15427
844,165.7169
845,33.57856
846,3.6420379
847,7.9064536
848,10.919681
849,19.499594
850,23.65306
851,-3.338406
852,-7.134528
853,-6.1026406
854,0.27364403
855,-2.542795
856,22.489742
857,-2.3646321
858,4.551191
859,36.863354
860,139.14925
861,364.86932
862,418.29788
863,527.51337
864,329.20624
865,349.6673
866,365.6303
867,193.1911
868,160.19328
869,13.279969
870,3.7051468
871,-19.559855
872,-12.920996
873,-6.240367
874,-13.509838
875,-7.3596716
876,-7.5876904
877,16.558115
878,-4.006097
879,3.2980871
880,-1.2210096
881,11.898427
882,-1.6790113
883,34.806965
884,200.33197
885,375.70764
886,572.45123
887,500.18173
888,481.52368
889,425.95938
890,320.6142
891,255.01172
892,226.9771
893,41.459904
894,6.429262
895,11.593371
896,1.4114223
897,12.975614
898,11.72698
899,0.9337465
900,5.323381
901,1.606669
902,-1.2449281
903,0.6970323
904,7.0839767
905,13.080627
906,1.6802077
907,25.264088
908,148.7842
909,355.6078
910,575.7524
911,592.0033
912,661.9724
913,527.526
914,551.197
915,176.2146
916,127.00757
917,38.350574
918,25.72869
919,24.347383
920,18.59947
921,15.104855
922,24.118856
923,1.2226363
924,1.5124713
925,5.323381
926,1.4111196
927,4.274787
928,-0.55697113
929,8.050914
930,1.6802077
931,41.0524
932,131.04366
933,478.9511
934,550.3998
935,529.5979
936,507.017
937,555.5677
938,353.53775
939,256.80954
940,216.7736
941,55.692482
942,17.530731
943,19.872408
944,23.077404
945,18.885883
946,18.885883
947,4.939348
948,5.323381
949,5.323381
950,-1.5975974
951,4.312946
952,1.2921143
953,-75.96678
954,2.1206267
955,64.779655
956,175.96019
957,250.71902
958,242.94566
959,436.4427
960,449.68945
961,429.1886
962,404.3826
963,179.02905
964,135.10869
965,10.761153
966,2.704438
967,-6.806754
968,2.5512357
969,-2.962621
970,5.8686905
971,-3.3897114
972,-2.9610384
973,1.1144463
974,1.051319
975,3.8753598
976,4.563316
977,11.457788
978,-0.012981765
979,13.138629
980,160.0716
981,243.2763
982,348.52377
983,424.81845
984,435.3467
985,518.5334
