,mont-cumbre
1266,71.22326
1267,55.444157
1268,31.029764
1269,48.87615
1270,110.219604
1271,50.587345
1272,77.20945
1273,57.737617
1274,31.151085
1275,2.894938
1276,-15.509848
1277,-2.80832
1278,-10.351884
1279,-9.031446
1280,0.37121847
1281,-1.047119
1282,6.428771
1283,-2.4820678
1284,-0.17900011
1285,-5.319928
1286,26.71841
1287,79.21592
1288,203.29759
1289,227.85284
1290,139.07022
1291,178.38232
1292,120.52328
1293,93.49911
1294,1.9818863
1295,183.22325
1296,47.053886
1297,75.60192
1298,50.12543
1299,35.018333
1300,-11.751777
1301,-4.286821
1302,30.498835
1303,36.101074
1304,11.761789
1305,9.109995
1306,5.352598
1307,39.246
1308,7.1787996
1309,6.601486
1310,71.734184
1311,135.46262
1312,177.02243
1313,159.52628
1314,32.297764
1315,26.472717
1316,-8.00025
1317,9.722226
1318,14.364593
1319,30.823019
1320,98.18286
1321,83.96366
1322,31.055527
1323,-1.3086292
1324,-11.450934
1325,-16.45628
1326,-8.057767
1327,5.83368
1328,-1.2547952
1329,-5.190232
1330,31.651648
1331,67.979
1332,36.044117
1333,2.6773849
1334,26.9605
1335,79.79458
1336,212.35901
1337,139.70755
1338,244.50067
1339,501.0305
1340,436.89224
1341,544.01044
1342,571.19525
1343,525.96686
1344,275.2754
1345,300.29178
1346,67.73675
1347,1.3484331
1348,-12.390657
1349,-37.746323
1350,-2.4213648
1351,-3.7845678
1352,-1.9529593
1353,-4.9207444
1354,-0.8309757
1355,-8.970986
1356,-30.352428
1357,-17.187761
1358,-9.845478
1359,111.67552
1360,253.40215
1361,179.83122
1362,131.06487
1363,83.49621
1364,87.955025
1365,35.374397
1366,71.21503
1367,55.338276
1368,111.80227
1369,85.720375
1370,32.710884
1371,13.383717
1372,-18.544174
1373,-6.139367
1374,13.445451
1375,-13.797335
1376,-4.055119
1377,-12.090523
1378,-1.4861778
1379,-6.7454233
1380,3.4267504
1381,2.1494634
1382,24.461084
1383,41.390423
1384,227.83383
1385,473.15488
1386,226.77522
1387,220.88301
1388,86.34886
1389,132.31712
1390,170.81927
1391,87.96237
1392,135.65535
1393,92.82805
1394,27.702675
1395,3.7806315
1396,-6.0493345
1397,-15.00773
1398,-6.107526
1399,-11.262836
1400,6.4637523
1401,10.05949
1402,3.8167012
1403,3.9715917
1404,5.5157056
1405,5.6278524
1406,29.261887
1407,36.93748
1408,166.30006
1409,209.44847
1410,236.11414
1411,41.38666
1412,187.46721
1413,145.52274
1414,147.86401
1415,89.98888
1416,90.64676
1417,66.34729
1418,33.318184
1419,-14.371092
1420,10.94343
1421,-8.832035
1422,-2.5930078
1423,-1.7243682
1424,-2.27756
1425,-1.6203214
1426,-0.988586
1427,7.148155
1428,7.4926524
1429,10.358985
1430,32.968746
1431,57.41269
1432,185.94328
1433,228.2568
1434,133.67654
1435,534.6435
1436,578.7256
1437,722.08984
1438,335.05597
1439,258.74603
1440,112.96292
1441,64.96602
1442,43.076405
1443,4.0949006
1444,6.555681
1445,34.15767
1446,3.7111044
1447,27.702148
1448,44.32405
1449,-4.1609774
1450,7.0025363
1451,7.8297405
1452,6.028351
1453,-5.1190715
1454,38.283283
1455,111.514175
1456,251.04367
1457,386.61426
1458,365.37485
1459,374.17972
1460,193.61835
1461,188.18259
1462,286.91397
1463,197.42874
1464,196.86526
1465,119.27016
1466,44.039715
1467,28.567072
1468,13.747815
1469,9.435938
1470,2.839418
1471,65.35271
1472,89.72797
1473,93.86293
1474,46.626823
1475,131.12584
1476,-9.257029
1477,20.281822
1478,159.17047
1479,212.03677
1480,182.22571
1481,178.7824
1482,162.11848
1483,170.52983
1484,142.2322
1485,176.06638
1486,277.1678
1487,203.25917
1488,72.12348
1489,105.5648
1490,62.56329
1491,2.484483
1492,-21.501371
1493,-2.1759295
1494,35.300133
1495,60.98386
1496,35.760075
1497,39.351406
1498,10.322257
1499,35.8164
1500,143.78477
1501,46.755074
1502,41.429104
1503,200.37843
1504,203.75786
1505,314.67398
1506,293.68243
1507,290.90088
1508,231.11386
1509,237.70508
1510,303.8997
1511,189.75871
1512,134.34366
1513,72.5323
1514,89.9671
1515,72.3711
1516,55.731853
1517,12.534853
1518,73.30285
1519,-19.096529
1520,-74.03527
1521,68.66388
1522,73.03017
1523,-12.200733
1524,35.605705
1525,104.61682
1526,178.81532
1527,163.98119
1528,149.21849
1529,198.3455
1530,252.30551
1531,295.92926
1532,262.75323
1533,230.75325
1534,46.512226
1535,37.606224
1536,164.52316
1537,71.857315
1538,68.15971
1539,8.256034
1540,-1.692803
1541,27.38943
1542,6.4056244
1543,12.42449
1544,-11.542992
1545,-11.325091
1546,-3.3013396
1547,-8.434526
1548,-8.89023
1549,8.055468
1550,25.399952
1551,74.89854
1552,243.82867
1553,529.64703
1554,693.11285
1555,752.8461
1556,812.235
1557,792.40686
1558,675.95685
1559,567.5987
1560,384.90714
1561,201.07117
1562,67.112366
1563,21.435926
1564,16.569738
1565,-7.921256
1566,8.182798
1567,-9.379075
1568,17.45541
1569,13.448676
1570,22.63613
1571,16.268806
1572,16.640781
1573,6.3417125
1574,45.337643
1575,130.99858
1576,245.57912
1577,240.81226
1578,364.0526
1579,544.47034
1580,481.53925
1581,340.6262
1582,467.141
1583,497.56613
1584,425.6867
1585,214.47159
1586,57.82233
1587,12.847341
1588,17.402998
1589,29.606617
1590,19.845524
1591,32.29568
1592,-2.5047128
1593,4.591187
1594,6.5351863
1595,1.3964587
1596,95.04912
1597,93.95278
1598,126.448845
1599,155.7496
1600,155.42201
1601,247.97734
1602,218.86015
1603,319.68784
1604,283.9802
1605,320.32642
1606,291.72607
1607,267.76898
1608,235.94492
1609,113.95545
1610,123.94937
1611,108.19451
1612,98.93847
1613,101.136
1614,48.42998
1615,103.64523
1616,99.80004
1617,94.01976
1618,37.03093
1619,95.051926
1620,95.051926
1621,99.03588
1622,136.11006
1623,198.69319
1624,105.275
1625,207.15097
1626,243.20558
1627,291.49384
1628,255.7862
1629,327.0608
1630,248.08238
1631,235.21428
1632,224.491
1633,132.46631
1634,118.459984
1635,86.50869
1636,34.255157
1637,22.149513
1638,46.16638
1639,77.42549
1640,93.54335
1641,32.80771
1642,135.05127
1643,1.4044741
1644,1.5921727
1645,10.628993
1646,27.21118
1647,156.82523
1648,269.2063
1649,444.23474
1650,600.35516
1651,718.0679
1652,720.3349
1653,465.7909
1654,412.46204
1655,418.09216
1656,308.53555
1657,171.37895
1658,89.17265
1659,32.559685
1660,19.323479
1661,30.441053
1662,30.551819
1663,26.442429
1664,17.813864
1665,20.028584
1666,17.474007
1667,9.008718
1668,3.6048172
1669,9.745948
1670,20.044996
1671,87.54393
1672,247.61862
1673,517.1388
1674,663.3826
1675,779.79395
1676,828.6144
1677,785.7496
1678,744.9472
1679,692.62823
1680,578.2031
1681,404.09933
1682,69.91824
1683,-6.869975
1684,-6.117482
1685,-7.026142
1686,-10.939226
1687,-11.292456
1688,14.5033
1689,6.388831
1690,3.3273597
1691,0.2881446
1692,-1.0694934
1693,3.5065887
1694,23.811354
1695,72.81989
1696,194.43428
1697,426.27707
1698,619.5115
1699,773.6237
1700,816.7286
1701,816.4253
1702,759.4741
1703,652.42865
1704,478.24277
1705,316.3238
1706,76.79137
1707,32.125965
1708,13.264135
1709,-17.5185
1710,-7.4346724
1711,16.418268
1712,-38.37766
1713,32.391273
1714,-58.925808
1715,-26.112165
1716,-61.574192
1717,33.631874
1718,45.573296
1719,115.879616
1720,303.14233
1721,566.3446
1722,704.3266
1723,795.06506
1724,747.5651
1725,721.8153
1726,669.578
1727,640.24896
1728,369.11954
1729,225.93686
1730,84.91647
1731,40.921867
1732,4.1886253
1733,4.0939484
1734,1.5863898
1735,23.654234
1736,21.219563
1737,19.223475
1738,21.768568
1739,22.875937
1740,22.523123
1741,18.69126
1742,43.373825
1743,115.95557
1744,229.59192
1745,562.0572
1746,729.7195
1747,761.97894
1748,822.90497
1749,636.35236
1750,754.2051
1751,685.6907
1752,515.8786
1753,237.24702
1754,97.78807
1755,41.060047
1756,29.07966
1757,6.690818
1758,34.627136
1759,43.970528
1760,0.35570276
1761,19.666971
1762,19.666971
1763,8.836648
1764,1.9967717
1765,22.946697
1766,38.63793
1767,92.13616
1768,301.8328
1769,518.1801
1770,633.8801
1771,744.90924
1772,738.37555
1773,647.5279
1774,414.36014
1775,569.6958
1776,285.9017
1777,252.0532
1778,100.35117
1779,37.163136
1780,43.469067
1781,22.250048
1782,25.450092
1783,31.301191
1784,19.157112
1785,15.616026
1786,11.987023
1787,-1.9443439
1788,-11.281521
1789,-22.185684
1790,-20.609835
1791,66.28407
1792,170.79668
1793,438.83133
1794,244.98386
