,salinas
928,26.667091
929,9.355613
930,117.232315
931,268.74216
932,383.86194
933,681.41614
934,707.8505
935,706.88574
936,656.4948
937,450.7343
938,269.34665
939,176.05692
940,-4.3031855
941,37.517956
942,29.40357
943,21.277393
944,32.6802
945,22.993107
946,-13.097973
947,-21.131336
948,-20.752485
949,4.036893
950,-25.064562
951,40.96294
952,38.733845
953,18.923092
954,90.25801
955,297.69064
956,436.40237
957,700.62866
958,703.49
959,712.50183
960,688.8489
961,407.2256
962,155.33112
963,86.71074
964,6.224082
965,-70.41828
966,-17.859583
967,3.8067546
968,-6.9432497
969,-10.685079
970,-15.345017
971,-15.005348
972,-18.593395
973,-14.727291
974,-19.592934
975,-28.313032
976,-25.27921
977,-48.276028
978,27.077887
979,249.43369
980,423.63043
981,680.8566
982,700.28076
983,703.92194
984,686.56
985,382.48035
986,283.42877
987,218.23291
988,65.09405
989,59.484833
990,41.13923
991,29.233091
992,55.388798
993,64.18924
994,-16.929245
995,-18.594172
996,-25.24095
997,-22.736498
998,-24.533104
999,-37.5918
1000,-26.79002
1001,-34.50602
1002,45.3765
1003,270.49326
1004,410.5225
1005,699.36914
1006,722.6318
1007,717.3445
1008,687.41846
1009,435.82053
1010,220.05907
1011,85.61044
1012,-51.088192
1013,-12.293304
1014,-0.804862
1015,15.916683
1016,12.80238
1017,-0.8595104
1018,6.8656983
1019,-25.127876
1020,3.3643641
1021,5.8250327
1022,1.0310986
1023,-12.158714
1024,-6.800127
1025,-3.2176423
1026,68.42194
1027,250.11298
1028,398.10413
1029,651.1676
1030,642.41943
1031,713.62286
1032,651.8693
1033,364.86823
1034,262.79913
1035,216.49193
1036,12.122253
1037,-15.487792
1038,-24.487385
1039,-66.21339
1040,-72.11746
1041,70.38788
1042,-31.31155
1043,-44.607674
1044,-10.183464
1045,-5.541824
1046,-26.841314
1047,-35.96118
1048,3.3634202
1049,-15.857133
1050,65.45117
1051,296.31357
1052,422.993
1053,569.36273
1054,508.838
1055,522.25854
1056,544.52893
1057,471.73117
1058,268.63028
1059,252.79904
1060,79.57796
1061,45.91975
1062,19.629047
1063,14.998422
1064,32.550087
1065,16.503075
1066,-5.704164
1067,-5.3201313
1068,-31.537508
1069,-17.656864
1070,-33.055428
1071,-22.72969
1072,-9.221336
1073,-9.343609
1074,108.175865
1075,346.61893
1076,382.9386
1077,527.7853
1078,690.2711
1079,723.54456
1080,754.8749
1081,442.622
1082,271.66272
1083,238.74767
1084,44.321648
1085,44.73261
1086,32.45384
1087,20.498867
1088,11.631196
1089,23.987751
1090,-22.810907
1091,-10.199403
1092,-6.2281523
1093,33.41618
1094,17.858408
1095,22.812788
1096,26.292608
1097,11.036388
1098,93.884186
1099,260.64444
1100,455.01733
1101,624.5137
1102,719.05756
1103,714.2316
1104,687.5691
1105,458.25607
1106,260.19785
1107,175.60449
1108,55.805183
1109,60.135376
1110,42.77794
1111,21.623009
1112,10.440102
1113,16.13438
1114,-1.4269207
1115,-1.1165775
1116,3.2270763
1117,2.7253044
1118,-8.13805
1119,-4.4228783
1120,1.2484157
1121,-1.8368152
1122,40.254578
1123,239.46893
1124,379.94196
1125,631.2309
1126,692.4823
1127,708.1692
1128,582.1873
1129,441.3
1130,232.20435
1131,165.84175
1132,37.952908
1133,17.94804
1134,19.513693
1135,13.305144
1136,19.204672
1137,23.40296
1138,2.7367077
1139,-2.2266965
1140,-10.668579
1141,-7.3388944
1142,1.772175
1143,-4.672219
1144,5.6589046
1145,-6.2569213
1146,45.972607
1147,179.42511
1148,443.98502
1149,648.1417
1150,669.3045
1151,708.71216
1152,678.53076
1153,388.0039
1154,266.62164
1155,188.9424
1156,43.30736
1157,61.128082
1158,59.425114
1159,37.269085
1160,37.95025
1161,27.3706
1162,-58.01956
1163,16.736843
1164,-3.2860327
1165,-21.062725
1166,11.098043
1167,16.786285
1168,-11.066481
1169,32.857647
1170,57.693554
1171,200.11975
1172,363.88293
1173,603.4082
1174,598.4563
1175,603.55817
1176,683.2283
1177,454.31137
1178,287.22
1179,177.22935
1180,16.046711
1181,-79.754654
1182,-93.417435
1183,-94.32936
1184,-26.120382
1185,-49.6965
1186,30.534073
1187,7.393823
1188,0.92338306
1189,1.174641
1190,31.90652
1191,14.815151
1192,-0.13074821
1193,9.740324
1194,88.46183
1195,386.8695
1196,527.62976
1197,688.7419
1198,785.23834
1199,806.40393
1200,675.16266
1201,538.3271
1202,414.35678
1203,309.59238
1204,127.36702
1205,-28.189156
1206,7.0228157
1207,77.75302
1208,75.01933
1209,84.90153
1210,16.202503
1211,30.455067
1212,13.420626
1213,57.8789
1214,33.2603
1215,26.276556
1216,4.2848396
1217,36.469147
1218,112.77654
1219,300.66742
1220,448.58716
1221,703.06805
1222,753.44965
1223,770.6597
1224,755.8968
1225,503.671
1226,500.29962
1227,380.8796
1228,149.65196
1229,83.47635
1230,68.45172
1231,60.296383
1232,61.528866
1233,94.14621
1234,7.171144
1235,31.5699
1236,38.827045
1237,12.674744
1238,11.086408
1239,12.9859
1240,48.82741
1241,60.0493
1242,198.4874
1243,540.1507
1244,489.98685
1245,688.25995
1246,764.39655
1247,770.4572
1248,712.578
1249,461.24686
1250,357.20847
1251,301.02496
1252,127.43059
1253,71.67639
1254,66.69488
1255,56.407436
1256,65.56689
1257,66.36813
1258,-32.02539
1259,-32.02539
1260,-33.975723
1261,9.724061
1262,13.5971365
1263,18.718798
1264,14.979343
1265,32.290855
1266,58.910393
1267,322.09482
1268,485.014
1269,692.2278
1270,785.2286
1271,757.66815
1272,752.289
1273,573.7181
1274,476.8745
1275,399.217
1276,162.822
1277,88.21504
1278,57.75229
1279,62.407864
1280,67.12413
1281,65.31821
1282,7.39604
1283,15.211183
1284,-7.23911
1285,4.8161364
1286,-2.039149
1287,4.554291
1288,20.694075
1289,15.23965
1290,91.22922
1291,212.54666
1292,512.69775
1293,735.5766
1294,816.9682
1295,798.97205
1296,707.01685
1297,502.68167
1298,404.6558
1299,317.22327
1300,127.60947
1301,69.77048
1302,56.28346
1303,50.976494
1304,58.4636
1305,57.68474
1306,12.223464
1307,-7.754382
1308,-5.279819
1309,4.1679935
1310,4.524728
1311,11.103751
1312,20.260805
1313,111.91768
1314,346.17145
1315,508.3797
1316,718.17
1317,794.36475
1318,801.5745
1319,678.0231
1320,489.31934
1321,390.29092
1322,299.5577
1323,123.84028
1324,63.994534
1325,40.596367
1326,20.615335
1327,25.066694
1328,36.3072
1329,41.25846
1330,44.091824
1331,38.946712
1332,40.425674
1333,42.038925
1334,39.201153
1335,29.646301
1336,34.34132
1337,147.56017
1338,353.46625
1339,537.6607
1340,691.6061
1341,786.96155
1342,818.3909
1343,734.5263
1344,499.78177
1345,330.21417
1346,369.51932
1347,162.20006
1348,64.61333
1349,55.108273
1350,43.58735
1351,58.880665
1352,54.582596
1353,42.025177
1354,39.443577
1355,56.427498
1356,67.62526
1357,64.57017
1358,59.93524
1359,53.683308
1360,60.215614
1361,159.49007
1362,303.2418
1363,677.67377
1364,773.8006
1365,796.3184
1366,729.22833
1367,494.95068
1368,328.13895
1369,338.25763
1370,133.33064
1371,79.086136
1372,56.19716
1373,48.92265
1374,20.123693
1375,44.929466
1376,8.9673
1377,-12.4482
1378,-4.3264
1379,-5.077267
1380,-3.7482266
1381,42.944874
1382,34.86419
1383,10.077023
1384,79.91853
1385,350.00433
1386,394.22437
1387,619.4991
1388,719.10364
1389,791.3807
1390,649.88904
1391,481.1447
1392,318.60626
1393,281.739
1394,118.69088
1395,73.71335
1396,47.91019
1397,28.603735
1398,39.65463
1399,52.099464
1400,28.828167
1401,-12.84404
1402,53.882374
1403,81.97673
1404,79.02868
1405,75.95188
1406,63.15728
1407,48.315723
1408,188.13553
1409,334.2036
1410,475.14703
1411,664.8431
1412,834.81165
1413,795.90405
1414,729.83606
1415,504.51474
