,fagundo
1065,371.24152
1066,492.3945
1067,354.0956
1068,385.1453
1069,376.62918
1070,226.25021
1071,65.9248
1072,-0.6275719
1073,5.6124268
1074,3.8607376
1075,1.9217528
1076,-2.0954957
1077,12.607658
1078,-0.8876352
1079,23.97834
1080,23.959953
1081,29.776783
1082,38.009903
1083,1.8612975
1084,0.9105838
1085,84.60401
1086,300.0588
1087,318.5342
1088,443.07278
1089,535.4106
1090,601.12976
1091,463.32446
1092,510.66998
1093,393.56863
1094,299.4372
1095,74.00992
1096,9.682745
1097,-1.3418022
1098,3.8483675
1099,11.373655
1100,6.4281416
1101,0.27327508
1102,-3.7380748
1103,-3.8346252
1104,-1.2432734
1105,-6.18167
1106,6.5278807
1107,4.3652687
1108,9.80599
1109,96.47761
1110,381.4886
1111,516.4704
1112,787.95233
1113,864.4707
1114,745.5153
1115,544.67224
1116,435.33725
1117,220.6088
1118,128.96754
1119,58.08546
1120,5.138725
1121,3.833024
1122,2.6223629
1123,3.3924627
1124,-3.7329133
1125,2.9954808
1126,2.0256562
1127,0.47934014
1128,-0.6607236
1129,3.471789
1130,3.9240239
1131,3.7342517
1132,6.3608217
1133,65.72971
1134,352.39365
1135,651.32556
1136,669.87366
1137,714.8873
1138,704.6823
1139,687.8476
1140,453.20282
1141,408.15826
1142,321.2246
1143,124.53494
1144,8.358225
1145,6.679799
1146,1.0905607
1147,-0.8659239
1148,14.232119
1149,0.94366616
1150,3.2051706
1151,6.036645
1152,-3.255252
1153,1.8517184
1154,-2.4950075
1155,3.5583224
1156,8.946244
1157,85.149666
1158,373.08218
1159,575.9233
1160,571.57306
1161,702.1436
1162,736.684
1163,639.5671
1164,385.0349
1165,435.4465
1166,303.65994
1167,70.09612
1168,29.005798
1169,14.433597
1170,4.8581753
1171,-1.1857708
1172,9.355624
1173,4.1500053
1174,-1.1431627
1175,17.603493
1176,-2.954254
1177,-0.05471351
1178,1.3329328
1179,-1.1676221
1180,12.437528
1181,51.464558
1182,230.44377
1183,646.30817
1184,618.195
1185,794.90356
1186,649.99725
1187,626.47394
1188,490.44498
1189,466.07138
1190,331.54425
1191,113.23048
1192,12.588912
1193,-2.5833018
1194,-9.346456
1195,0.5247449
1196,-6.884527
1197,-0.116187476
1198,12.813623
1199,-3.4360197
1200,-4.4826927
1201,-4.4136486
1202,5.762079
1203,-0.67082214
1204,11.346254
1205,46.72461
1206,273.3654
1207,525.4608
1208,740.15814
1209,870.0554
1210,701.058
1211,718.04297
1212,539.5129
1213,437.5723
1214,295.84464
1215,97.480576
1216,-0.16863343
1217,3.9409745
1218,-5.5602713
1219,10.819934
1220,-0.87615335
1221,1.0353028
1222,-0.08198383
1223,3.799399
1224,-4.7397
1225,-3.6579416
1226,5.4136214
1227,-5.7109914
1228,0.00429032
1229,44.271328
1230,256.00165
1231,624.3696
1232,659.3877
1233,808.388
1234,811.62
1235,610.15375
1236,444.35132
1237,370.4804
1238,236.96072
1239,136.70464
1240,10.465843
1241,12.426024
1242,11.970457
1243,11.194954
1244,11.628909
1245,4.870504
1246,-2.9085696
1247,1.2586548
1248,-1.6536325
1249,-2.133392
1250,-1.4550517
1251,2.167549
1252,28.113195
1253,50.172314
1254,287.07297
1255,470.6861
1256,656.1457
1257,647.6162
1258,794.5154
1259,606.0382
1260,580.9274
1261,323.26123
1262,227.57011
1263,63.98978
1264,5.555024
1265,-2.6385674
1266,8.219438
1267,15.8904
1268,29.759277
1269,7.0353503
1270,13.101179
1271,32.535137
1272,9.552892
1273,-18.053598
1274,-0.32503635
1275,-32.95649
1276,-25.50507
1277,-3.9293694
1278,72.01584
1279,182.81366
1280,243.52194
1281,503.14417
1282,542.23
1283,495.48117
1284,448.3138
1285,272.40317
1286,115.929924
1287,52.598686
1288,66.44113
1289,-4.0902014
1290,7.7359705
1291,4.0579276
1292,-4.7824144
1293,-7.0692935
1294,-23.037495
1295,-15.578843
1296,-14.972225
1297,-26.983759
1298,146.66257
1299,144.93074
1300,123.81402
1301,129.19022
1302,152.1267
1303,176.2909
1304,157.58052
1305,382.26245
1306,591.6893
1307,481.14612
1308,232.1004
1309,128.63406
1310,35.920578
1311,35.151024
1312,-18.423145
1313,-28.104015
1314,24.456379
1315,-47.302235
1316,-27.171625
1317,9.847475
1318,3.8439074
1319,2.9674067
1320,-4.1197047
1321,-5.0895185
1322,-4.135201
1323,1.159763
1324,102.39687
1325,49.84012
1326,54.386105
1327,139.89578
1328,167.13712
1329,478.37952
1330,501.17358
1331,480.79004
1332,361.6074
1333,319.4713
1334,178.53326
1335,22.213623
1336,-3.1987805
1337,13.254286
1338,11.730051
1339,2.5593588
1340,-1.5462635
1341,-1.780378
1342,0.014755271
1343,0.18768555
1344,5.059016
1345,-0.5536981
1346,0.13859797
1347,7.543575
1348,4.5730844
1349,78.35645
1350,212.2828
1351,481.15674
1352,625.4004
1353,726.9713
1354,727.705
1355,725.38226
1356,598.80347
1357,412.15982
1358,320.30048
1359,87.71988
1360,31.87863
1361,11.292282
1362,14.621542
1363,5.0625253
1364,9.339599
1365,-9.948127
1366,0.9709709
1367,0.61688066
1368,36.263794
1369,6.1087384
1370,1.7687837
1371,10.310787
1372,6.738925
1373,48.985283
1374,268.36517
1375,562.6466
1376,559.38
1377,659.0584
1378,642.3863
1379,551.2286
1380,487.10287
1381,402.34595
1382,198.15712
1383,59.498753
1384,0.52352476
1385,9.099313
1386,-14.138878
1387,-14.490699
1388,-8.629195
1389,-6.169276
1390,-14.932861
1391,23.113503
1392,-8.316795
1393,14.176347
1394,-1.1962143
1395,22.1392
1396,70.047966
1397,-40.457314
1398,146.73442
1399,285.95352
1400,231.5955
1401,736.5529
1402,829.38525
1403,596.19293
1404,458.34653
1405,450.43854
1406,319.57455
1407,58.263176
1408,15.657142
1409,23.267284
1410,-1.7961223
1411,-12.214383
1412,-3.581838
1413,3.970714
1414,-1.34426
1415,-0.71467215
1416,-1.7575817
1417,-1.6137916
1418,1.8378323
1419,6.9168634
1420,11.797805
1421,57.272434
1422,360.9917
1423,567.46234
1424,752.5811
1425,541.1046
1426,567.8492
1427,437.5684
1428,365.7831
1429,111.97662
1430,12.827211
1431,38.38117
1432,37.73958
1433,38.507023
1434,43.88467
1435,6.901928
1436,5.550618
1437,-4.1096754
1438,-7.975432
1439,12.166314
1440,1.0290341
1441,8.565012
1442,23.56782
1443,88.41076
1444,363.84976
1445,480.48642
1446,704.22095
1447,780.13586
1448,722.3212
1449,683.0974
1450,497.85645
1451,404.9569
1452,268.99948
1453,78.31323
1454,26.191292
1455,4.932736
1456,23.470057
1457,6.5547953
1458,5.06203
1459,0.5835271
1460,-4.934582
1461,4.2405524
1462,12.347125
1463,4.4624577
1464,12.680789
1465,2.4017873
1466,1.9262623
1467,100.10407
1468,355.89865
1469,468.08182
1470,644.6381
1471,761.9508
1472,771.0684
1473,573.91473
1474,550.9342
1475,434.04575
1476,282.30112
1477,76.78501
1478,13.15619
1479,-3.3702915
1480,0.6226102
1481,8.46301
1482,1.8997543
1483,-1.0267321
1484,2.988556
1485,0.2211659
1486,8.157708
1487,5.433324
1488,2.2892363
1489,12.212384
1490,2.766104
1491,67.52315
1492,247.12656
1493,477.7594
1494,731.79706
1495,619.02826
1496,363.05673
1497,171.95175
1498,355.98706
1499,158.75107
1500,240.89815
1501,89.53945
1502,6.7687345
1503,6.163522
1504,-3.1543546
1505,6.499978
1506,40.293785
1507,7.796146
1508,4.954233
1509,0.73326546
1510,-1.6315986
1511,-0.03794902
1512,-1.2324735
1513,0.6806021
1514,27.677708
1515,67.39413
1516,228.15103
1517,448.59442
1518,668.2501
1519,704.5128
1520,643.918
1521,398.832
1522,565.3112
1523,312.78406
1524,222.25648
1525,53.53346
1526,10.044239
1527,8.366231
1528,3.0723548
1529,-5.4276094
1530,8.81046
1531,-4.9647264
1532,-5.4871435
1533,-5.9796557
1534,-9.192954
1535,-5.916301
1536,-11.980011
1537,-3.003346
1538,-1.3412542
1539,26.014074
1540,201.81746
1541,520.9073
1542,603.94696
1543,574.4424
1544,576.5835
1545,516.3345
1546,360.66934
1547,180.85954
1548,77.4907
1549,33.84423
1550,5.600365
1551,1.2725662
1552,43.33146
1553,42.875755
1554,42.875755
1555,19.60473
1556,5.886184
1557,17.71681
1558,0.8567819
1559,6.882469
1560,23.791842
1561,6.1730504
1562,37.189438
1563,73.90845
1564,179.89932
1565,223.45422
1566,240.90515
1567,287.04776
1568,398.66165
1569,306.24738
1570,280.50555
1571,191.47063
1572,170.40381
1573,50.30319
1574,46.683006
1575,31.347485
1576,25.852154
1577,-7.179473
1578,1.8640727
1579,33.334858
1580,1.0156372
1581,8.24515
1582,9.77659
1583,6.062627
1584,15.106108
1585,3.2844303
1586,-3.169225
1587,57.417427
1588,234.7612
1589,393.6756
1590,293.45728
1591,296.68866
1592,345.6097
1593,510.17615
1594,456.05325
1595,363.9016
1596,281.36084
1597,103.599495
1598,8.006116
1599,-8.117912
1600,-8.863249
1601,-13.124935
1602,6.731318
1603,12.846545
1604,0.9597818
1605,7.1347065
1606,-4.760728
1607,-10.962571
1608,-1.908331
1609,15.867213
1610,17.502829
1611,44.584156
1612,359.1045
1613,546.6917
1614,660.0235
1615,781.1975
1616,763.44507
1617,669.18396
1618,488.57428
1619,463.3306
1620,318.53046
1621,123.27574
1622,21.832579
1623,2.865904
1624,-3.2941117
1625,12.183648
1626,16.664637
1627,2.7535443
1628,3.4630687
1629,0.3579842
1630,-2.133392
1631,0.35006994
1632,2.641889
1633,8.429968
1634,10.713219
1635,81.7546
1636,383.98453
1637,469.46933
1638,664.4938
1639,825.61835
1640,742.25134
1641,671.72894
1642,546.58154
1643,416.21896
1644,299.73944
1645,66.95371
1646,5.2483416
1647,-5.019225
1648,-8.18409
1649,1.603306
1650,0.65373564
1651,2.426665
1652,-1.3369194
1653,1.8509731
1654,1.6012793
1655,-0.5493594
1656,-0.6246659
1657,1.8752668
1658,4.586603
1659,34.92097
1660,358.27875
1661,295.0453
1662,692.9751
1663,615.59656
1664,505.85092
1665,635.2263
1666,270.1906
1667,254.0392
1668,192.12943
1669,112.9607
1670,6.360864
1671,1.9324793
1672,6.2673526
1673,1.4602612
1674,0.38184705
1675,-1.780378
1676,-1.6067623
1677,1.0405822
1678,0.28102595
1679,-2.1430104
1680,-0.43718886
1681,2.3879972
1682,0.7910225
1683,46.014103
1684,318.0442
1685,413.51358
1686,502.77896
1687,607.411
1688,548.2355
1689,476.46866
1690,402.55795
1691,345.35947
1692,315.2265
1693,80.8097
1694,5.197563
1695,5.8153505
1696,6.2833486
1697,4.8525977
1698,4.1669664
1699,-0.49080282
1700,2.3612478
1701,-2.2267325
1702,-1.2804945
1703,-3.9306142
1704,0.3210609
1705,5.345271
1706,10.213771
1707,44.13586
1708,261.5064
1709,477.145
1710,534.9797
1711,428.1378
1712,555.762
1713,536.607
1714,430.6658
1715,433.6024
1716,346.03946
1717,114.48271
1718,16.476408
1719,42.785465
1720,46.728367
1721,42.59616
1722,-0.44935986
1723,-4.437808
1724,-1.8122879
1725,-1.5578152
1726,-1.5235065
1727,-3.3868952
1728,-0.73334056
1729,12.9315
1730,18.080168
1731,116.01226
1732,412.61304
1733,529.13086
1734,656.3023
1735,815.15027
1736,649.1249
1737,623.19916
1738,615.80164
1739,530.2585
1740,373.3323
1741,154.97939
1742,4.7797117
1743,5.5679874
1744,2.453112
1745,-5.848302
1746,-5.1241627
1747,3.735458
1748,5.7793984
1749,1.4824946
1750,5.011017
1751,1.8748126
1752,0.29867232
1753,-4.2939305
1754,11.856118
1755,91.89819
1756,351.4402
1757,441.78397
1758,633.7049
1759,637.87244
